dataset,model,condition,item_id,order,is_correct,token_f1,prompt_tokens,completion_tokens
fantom,gpt-5.4-nano,baseline_io,fantom_29-0-2_beliefgen_0,first-order,1,0.3492,538,60
fantom,gpt-5.4-nano,baseline_io,fantom_192-0-2_beliefgen_0,first-order,1,0.3488,459,136
fantom,gpt-5.4-nano,standard_cot,fantom_192-0-2_beliefgen_0,first-order,1,0.2955,462,226
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_29-0-2_beliefgen_0,first-order,0,0.339,908,187
fantom,gpt-5.4-nano,baseline_io,fantom_8-1-0_beliefgen_0,first-order,0,0.2766,1127,118
fantom,gpt-5.4-nano,standard_cot,fantom_29-0-2_beliefgen_0,first-order,1,0.5417,541,276
fantom,gpt-5.4-nano,standard_cot,fantom_8-1-0_beliefgen_0,first-order,0,0.4646,1130,153
fantom,gpt-5.4-nano,baseline_io,fantom_216-2-2_beliefgen_0,first-order,0,0.3438,1240,152
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_192-0-2_beliefgen_0,first-order,1,0.2353,829,338
fantom,gpt-5.4-nano,standard_cot,fantom_216-2-2_beliefgen_0,first-order,0,0.4561,1243,147
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_8-1-0_beliefgen_0,first-order,0,0.4299,1497,220
fantom,gpt-5.4-nano,baseline_io,fantom_82-0-1_beliefgen_0,first-order,0,0.2903,819,65
fantom,gpt-5.4-nano,standard_cot,fantom_82-0-1_beliefgen_0,first-order,0,0.2927,822,223
fantom,gpt-5.4-nano,baseline_io,fantom_66-0-0_beliefgen_0,first-order,0,0.3529,776,59
fantom,gpt-5.4-nano,baseline_io,fantom_71-1-1_beliefgen_0,first-order,0,0.2,1103,135
fantom,gpt-5.4-nano,baseline_io,fantom_37-0-2_beliefgen_0,first-order,0,0.642,558,48
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_71-1-1_beliefgen_0,first-order,0,0.2333,1473,279
fantom,gpt-5.4-nano,standard_cot,fantom_66-0-0_beliefgen_0,first-order,0,0.3333,779,198
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_82-0-1_beliefgen_0,first-order,1,0.1928,1189,342
