collapse_fired_primary,collapse_fired_secondary,completion_tokens,condition,generator,mh_primary,mh_secondary,sc_primary,sc_secondary,scenario_id,suppression_fired_primary,suppression_fired_secondary,us_primary,us_secondary
0,0,1148,narrative_cot,claude-haiku-4-5,5,5,4,4,dd_18656,0,0,3,3
0,0,1029,narrative_cot,claude-haiku-4-5,5,3,5,5,dd_1057,0,0,3,3
0,0,1188,narrative_cot,claude-haiku-4-5,5,5,5,5,dd_17455,0,0,3,2
0,0,1207,narrative_cot,claude-haiku-4-5,4,5,8,8,dd_42086,0,0,3,2
0,0,1179,narrative_cot,claude-haiku-4-5,4,5,5,5,dd_42521,0,0,3,3
0,0,1631,narrative_cot,claude-haiku-4-5,5,5,6,6,dd_19532,0,0,3,2
0,0,797,narrative_cot,claude-haiku-4-5,4,4,4,4,dd_16120,0,0,3,2
0,0,1165,narrative_cot,claude-haiku-4-5,5,5,6,6,dd_33126,0,0,3,2
0,0,1606,narrative_cot,claude-haiku-4-5,4,5,6,6,dd_11553,0,0,3,3
0,0,1210,narrative_cot,claude-haiku-4-5,5,5,5,5,dd_17792,0,0,3,3
0,0,1144,narrative_cot,claude-haiku-4-5,5,5,4,4,dd_20431,0,0,3,3
0,0,856,narrative_cot,claude-haiku-4-5,4,5,5,5,dd_45919,0,0,3,2
0,0,1286,narrative_cot,claude-haiku-4-5,5,5,6,5,dd_14325,0,0,3,3
0,0,1366,narrative_cot,claude-haiku-4-5,4,4,5,4,dd_25698,0,0,3,2
0,0,1069,narrative_cot,claude-haiku-4-5,5,5,4,4,dd_42185,0,0,3,2
0,0,1122,narrative_cot,claude-haiku-4-5,4,4,5,5,dd_24408,0,0,3,2
0,0,1307,narrative_cot,claude-haiku-4-5,4,4,4,4,dd_23322,0,0,3,3
0,0,1469,narrative_cot,claude-haiku-4-5,5,5,5,5,dd_37404,0,0,3,2
0,0,1404,narrative_cot,claude-haiku-4-5,5,4,6,6,dd_37016,0,0,3,3
0,0,1351,narrative_cot,claude-haiku-4-5,4,5,5,5,dd_35542,0,0,3,3
0,0,1169,narrative_cot,claude-haiku-4-5,4,5,6,6,dd_17165,0,0,3,3
0,0,1582,narrative_cot,claude-haiku-4-5,5,5,6,5,dd_6420,0,0,3,2
0,0,1226,narrative_cot,claude-haiku-4-5,4,5,5,5,dd_922,0,0,3,3
0,0,1342,narrative_cot,claude-haiku-4-5,5,4,6,6,dd_5824,0,0,3,2
0,0,1865,narrative_cot,claude-haiku-4-5,5,5,5,5,dd_10361,0,0,3,3
0,0,1207,narrative_cot,claude-haiku-4-5,4,3,6,5,dd_33409,0,0,3,3
0,0,1417,narrative_cot,claude-haiku-4-5,5,2,6,6,dd_23530,0,0,3,2
0,0,342,standard_cot,claude-haiku-4-5,4,4,4,3,dd_1057,0,0,3,1
0,0,331,standard_cot,claude-haiku-4-5,4,4,4,4,dd_18656,0,0,1,1
0,0,1088,narrative_cot,claude-haiku-4-5,4,5,4,4,dd_10450,0,0,3,3
0,0,346,standard_cot,claude-haiku-4-5,4,3,4,6,dd_42086,0,0,3,1
0,0,1279,narrative_cot,claude-haiku-4-5,5,4,4,4,dd_29184,0,0,3,3
0,0,353,standard_cot,claude-haiku-4-5,3,2,3,4,dd_42521,0,0,2,1
0,0,335,standard_cot,claude-haiku-4-5,4,5,3,3,dd_19532,0,1,2,0
0,0,313,standard_cot,claude-haiku-4-5,4,4,4,4,dd_17455,0,1,2,0
0,0,332,standard_cot,claude-haiku-4-5,3,3,2,2,dd_16120,0,0,2,1
0,0,323,standard_cot,claude-haiku-4-5,4,5,3,4,dd_33126,0,0,2,2
0,0,338,standard_cot,claude-haiku-4-5,3,3,4,3,dd_11553,0,0,2,1
0,0,341,standard_cot,claude-haiku-4-5,4,3,2,2,dd_17792,0,0,3,2
0,0,321,standard_cot,claude-haiku-4-5,4,3,2,2,dd_20431,0,0,1,1
0,0,326,standard_cot,claude-haiku-4-5,4,2,5,4,dd_45919,0,0,2,2
0,0,363,standard_cot,claude-haiku-4-5,4,3,3,3,dd_25698,0,0,2,1
