scenario_id,generator,condition,direction,output_len,kc_graph_score,n_nodes,n_edges,mean_degree,kc_gzip_score,kc_graph_mdl,kc_struct_entropy
av_engineer,gpt-5.4-nano,standard_cot,-1,1469,24.2857,14,9,1.2857,785,0.687046,1.427061
av_engineer,gpt-5.4-nano,baseline_io,0,1483,32.2632,19,12,1.2632,825,0.761477,1.814308
aging_parent,gpt-5.4-nano,narrative_cot,1,12504,48.1333,30,17,1.1333,5515,0.670388,2.639341
av_engineer,gpt-5.4-nano,narrative_cot,1,11806,42.037,27,14,1.037,5036,0.644194,2.540036
aging_parent,gpt-5.4-nano,standard_cot,-1,4643,44.0714,28,15,1.0714,2183,0.727187,2.70805
aging_parent,gpt-5.4-nano,baseline_io,0,2561,39.04,25,13,1.04,1332,0.751369,2.564949
dd_10361,claude-haiku-4-5,baseline_io,0,1304,37.1304,23,13,1.1304,747,0.810865,2.564949
dd_10361,claude-haiku-4-5,standard_cot,-1,1576,35.0909,22,12,1.0909,842,0.774172,2.369382
dd_10450,claude-haiku-4-5,baseline_io,0,1241,29.1111,18,10,1.1111,683,0.749856,1.973001
dd_10361,claude-haiku-4-5,narrative_cot,1,6952,48.1333,30,17,1.1333,3032,0.714865,2.476247
dd_10361,claude-haiku-4-5,standard_cot_verbose,-1,2151,50.0625,32,17,1.0625,1094,0.832259,2.833213
dd_10450,claude-haiku-4-5,standard_cot,-1,1508,23.1429,14,8,1.1429,822,0.670193,1.667462
dd_10450,claude-haiku-4-5,narrative_cot,1,5585,44.0714,28,15,1.0714,2525,0.711622,2.615631
dd_10450,claude-haiku-4-5,standard_cot_verbose,-1,2213,36.3333,21,14,1.3333,1149,0.752879,2.064258
dd_1057,claude-haiku-4-5,baseline_io,0,1246,31.0,20,10,1.0,731,0.763473,2.302585
dd_1057,claude-haiku-4-5,standard_cot,-1,1474,29.1111,18,10,1.1111,855,0.732186,2.163956
dd_1057,claude-haiku-4-5,standard_cot_verbose,-1,2282,49.2,30,18,1.2,1202,0.824806,2.50529
dd_1057,claude-haiku-4-5,narrative_cot,1,6462,64.15,40,23,1.15,2900,0.785474,2.931923
dd_11553,claude-haiku-4-5,baseline_io,0,1238,30.0526,19,10,1.0526,750,0.757313,2.302585
dd_11553,claude-haiku-4-5,standard_cot,-1,1424,40.25,24,15,1.25,841,0.825052,2.211069
dd_11553,claude-haiku-4-5,narrative_cot,1,5451,61.3333,36,24,1.3333,2542,0.793817,2.38354
dd_11553,claude-haiku-4-5,standard_cot_verbose,-1,2649,57.1111,36,20,1.1111,1327,0.844351,2.761626
dd_11786,claude-haiku-4-5,baseline_io,0,1156,36.0435,23,12,1.0435,692,0.814196,2.484907
