iter,n,loss,collapse_rate,suppression_rate,mean_stakeholder_count,mean_uncertainty_score,mean_completion_tokens,prompt_hash
0,10,0.9,0.0,0.0,3.3,1.9,330.4,715b1d65b5
1,10,0.4,0.0,0.0,3.9,2.6,355.8,78be807d06
2,10,1.4,0.0,0.0,2.8,2.1,313.0,01646787cc
3,10,0.1,0.0,0.0,4.1,2.7,286.3,9e590f6a7c
4,10,0.8,0.0,0.0,3.8,2.4,276.9,4ffbd12b83
5,10,0.5,0.0,0.0,4.1,2.2,264.5,60e3a96bd5
6,10,0.9,0.0,0.0,3.6,2.0,268.1,27cbc978fe
7,10,0.5,0.0,0.0,4.2,2.1,270.6,e1a40daf65
8,10,0.6,0.0,0.0,3.7,2.3,268.9,91d9b6e1f3
9,10,0.1,0.0,0.0,4.0,2.7,247.7,5dc99e1707
10,10,0.4,0.0,0.0,3.7,2.3,256.5,60f22cf1ab
