gen,proxy,n_items,diff,lo,hi,dz,variant,W,pos
claude-haiku-4-5,gzip,736,0.009464027064972132,0.007686837777599375,0.011207393420264895,0.4628227494484591,fmt_stripped,500,head
claude-haiku-4-5,lzma,736,0.007056274045741121,0.005131322242140014,0.009168394890017457,0.32173242270105834,fmt_stripped,500,head
claude-haiku-4-5,zstd22,736,0.009880194893499769,0.008074349562012108,0.011679173182174745,0.47988379983527124,fmt_stripped,500,head
claude-haiku-4-5,brotli,736,0.0024998339664363154,0.00010387220103814481,0.004966864679066018,0.08592421423813079,fmt_stripped,500,head
claude-haiku-4-5,h_char3,736,0.04658122821738473,0.03746273036691458,0.05574209647294464,0.44682348671634564,fmt_stripped,500,head
claude-haiku-4-5,h_char5,736,0.017790187482009775,0.011955921368877088,0.023584001141704173,0.2804375657377413,fmt_stripped,500,head
claude-haiku-4-5,hrate_k3,736,0.0018241445227396098,-0.003353516235025646,0.007424878431698498,0.03242290501454594,fmt_stripped,500,head
claude-haiku-4-5,hrate_k5,736,-0.013829551544912746,-0.01664295600974319,-0.011257612753904927,-0.4728046423231571,fmt_stripped,500,head
claude-haiku-4-5,hrate_k6,736,-0.005956012261553422,-0.007900639669496518,-0.004065265231808694,-0.29791080478709303,fmt_stripped,500,head
claude-haiku-4-5,mattr50,736,-0.005796711716454189,-0.010022112212280115,-0.0015080697301838265,-0.12117745999934858,fmt_stripped,500,head
claude-haiku-4-5,ttr,736,-0.000726429996636426,-0.005533945750979946,0.004048949260125904,-0.013310824982434579,fmt_stripped,500,head
claude-haiku-4-5,mean_word_len,736,0.2203671421331171,0.18515557532037266,0.2566340770480856,0.5628877328609161,fmt_stripped,500,head
claude-haiku-4-5,mean_sent_words,736,-16.748067647488202,-18.365528204934755,-15.200445619474623,-0.7327402616504991,fmt_stripped,500,head
claude-haiku-4-5,comma_per_word,736,0.008875282786997705,0.006613563877974767,0.011218396649440536,0.3679065010308165,fmt_stripped,500,head
claude-haiku-4-5,subord_per_word,736,0.004623053303223853,0.002748216854558206,0.006427475904740647,0.24281249646706732,fmt_stripped,500,head
claude-haiku-4-5,n_words,736,-3.1644021739130435,-3.6084427684117126,-2.7326322930800546,-0.6395302002603181,fmt_stripped,500,head
claude-sonnet-4-6,gzip,698,0.012983028250678512,0.011487898297134322,0.014493222782131424,0.7848372414036259,fmt_stripped,500,head
