scenario_id,gen_model,sec13_consensus,sec14_consensus,sec15_full,sec15_partial,sec16_full,sec16_majority
hospital_allocation,gpt-5.4-nano,0.3,0.5,0.0,1.0,1.0,1.0
pharma_whistleblower,gpt-5.4-nano,0.1,0.0,0.0,1.0,0.7,1.0
aging_parent,gpt-5.4-nano,0.0,0.2,0.0,1.0,1.0,1.0
av_engineer,gpt-5.4-nano,0.0,0.0,0.0,1.0,0.9,1.0
research_volunteer,gpt-5.4-nano,0.1,0.0,0.0,1.0,1.0,1.0
hospital_allocation,gpt-4o,0.0,0.0,0.0,1.0,1.0,1.0
pharma_whistleblower,gpt-4o,0.0,0.0,0.0,1.0,1.0,1.0
aging_parent,gpt-4o,0.0,0.1,0.0,1.0,1.0,1.0
av_engineer,gpt-4o,0.1,0.1,0.0,1.0,1.0,1.0
research_volunteer,gpt-4o,0.0,0.0,0.0,1.0,1.0,1.0
