dataset,list_qtype,model,condition,item_id,gold,predicted,exact_match,precision,recall,f1,prompt_tokens,completion_tokens
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_192-0-2_answerability_list,Elliott|Evelyn|Maggie,Elliott|Evelyn|Maggie,1,1.0,1.0,1.0,462,258
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_29-0-2_answerability_list,Alejandra|Jayda|Jayson,,0,0.0,0.0,0.0,544,98
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_29-0-2_answerability_list,Alejandra|Jayda|Jayson,,0,0.0,0.0,0.0,914,116
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_29-0-2_answerability_list,Alejandra|Jayda|Jayson,,0,0.0,0.0,0.0,547,145
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_192-0-2_answerability_list,Elliott|Evelyn|Maggie,Elliott|Evelyn|Maggie,1,1.0,1.0,1.0,465,259
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_192-0-2_answerability_list,Elliott|Evelyn|Maggie,Elliott|Evelyn|Maggie,1,1.0,1.0,1.0,832,403
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_8-1-0_answerability_list,Curtis|Mia|Orlando,,0,0.0,0.0,0.0,1131,148
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_8-1-0_answerability_list,Curtis|Mia|Orlando,,0,0.0,0.0,0.0,1134,282
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_82-0-1_answerability_list,Aaliyah|Amy,,0,0.0,0.0,0.0,813,41
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_216-2-2_answerability_list,Aurora|Camryn|Megan|Skylar,Aurora|Skylar,0,1.0,0.5,0.6667,1239,143
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_8-1-0_answerability_list,Curtis|Mia|Orlando,,0,0.0,0.0,0.0,1501,193
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_82-0-1_answerability_list,Aaliyah|Amy,,0,0.0,0.0,0.0,816,141
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_216-2-2_answerability_list,Aurora|Camryn|Megan|Skylar,Aurora|Skylar,0,1.0,0.5,0.6667,1242,298
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_71-1-1_answerability_list,Amari|Ariana|Declan,,0,0.0,0.0,0.0,1115,96
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_66-0-0_answerability_list,Clara|Judah,,0,0.0,0.0,0.0,774,57
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_82-0-1_answerability_list,Aaliyah|Amy,,0,0.0,0.0,0.0,1183,250
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_37-0-2_answerability_list,Jude|Nyla,,0,0.0,0.0,0.0,556,44
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_66-0-0_answerability_list,Clara|Judah,,0,0.0,0.0,0.0,1144,155
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_66-0-0_answerability_list,Clara|Judah,,0,0.0,0.0,0.0,777,231
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_216-0-1_answerability_list,Aurora|Skylar,,0,0.0,0.0,0.0,670,45
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_37-0-2_answerability_list,Jude|Nyla,,0,0.0,0.0,0.0,559,253
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_71-1-1_answerability_list,Amari|Ariana|Declan,Amari|Ariana|Declan|Enrique,0,0.75,1.0,0.8571,1118,520
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_37-0-2_answerability_list,Jude|Nyla,,0,0.0,0.0,0.0,926,170
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_216-2-2_answerability_list,Aurora|Camryn|Megan|Skylar,Aurora|Skylar,0,1.0,0.5,0.6667,1609,745
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_27-0-0_answerability_list,Angelo|Josie|Kinley,,0,0.0,0.0,0.0,872,58
