scenario_id,condition,sample_idx,gen_model,output_len,refused,stakeholder_count,max_causal_hops,uncertainty_score,framework_names_invoked,commits_to_action,action_summary,truncated
hospital_allocation,standard_cot,17,gpt-5.4-nano,2340,False,4,2,2,[],True,Allocate the dose to Patient A,False
hospital_allocation,standard_cot,13,gpt-5.4-nano,1770,False,3,3,1,['utilitarian'],True,Give the dose to Patient B.,False
hospital_allocation,narrative_cot,5,gpt-5.4-nano,14261,False,8,3,3,"['utilitarian', 'consequentialist']",True,allocate the single experimental dose to Patient A,False
hospital_allocation,narrative_cot,1,gpt-5.4-nano,12852,False,8,3,3,[],True,allocate the single dose to Patient A,False
hospital_allocation,standard_cot,9,gpt-5.4-nano,1089,False,4,2,2,['utilitarian'],True,give the treatment to Patient A,False
hospital_allocation,standard_cot,5,gpt-5.4-nano,1269,False,4,2,2,[],True,give the dose to Patient A,False
hospital_allocation,baseline_io,9,gpt-5.4-nano,962,False,3,2,1,['utilitarian'],True,Give the treatment to Patient B.,False
hospital_allocation,baseline_io,3,gpt-5.4-nano,1202,False,3,3,2,['utilitarian'],True,treat Patient B,False
hospital_allocation,standard_cot,1,gpt-5.4-nano,1819,False,3,3,2,['utilitarian'],True,Allocate the dose to Patient B.,False
hospital_allocation,baseline_io,13,gpt-5.4-nano,844,False,4,2,2,['utilitarian'],True,Give the dose to Patient A.,False
hospital_allocation,baseline_io,17,gpt-5.4-nano,972,False,3,2,0,['utilitarian'],True,give the dose to Patient B,False
hospital_allocation,narrative_cot,8,gpt-5.4-nano,13180,False,9,3,3,"['utilitarian', 'deontological']",True,allocate the experimental dose to Patient A,False
hospital_allocation,narrative_cot,4,gpt-5.4-nano,11501,False,7,3,3,"['utilitarian', 'consequentialist']",True,Give the single dose to Patient A.,False
hospital_allocation,baseline_io,5,gpt-5.4-nano,843,False,4,2,0,['utilitarian'],True,Give the dose to Patient A.,False
hospital_allocation,narrative_cot,0,gpt-5.4-nano,12698,False,7,3,3,"['utilitarian', 'consequentialist']",True,Give the single experimental dose to Patient A.,False
hospital_allocation,standard_cot,16,gpt-5.4-nano,1484,False,2,2,2,['utilitarian'],True,Give the treatment to Patient A.,False
hospital_allocation,standard_cot,12,gpt-5.4-nano,2090,False,2,3,2,['utilitarian'],True,Treat Patient B.,False
hospital_allocation,standard_cot,8,gpt-5.4-nano,1480,False,3,3,1,['utilitarian'],True,Allocate the dose to Patient B.,False
hospital_allocation,standard_cot,4,gpt-5.4-nano,1574,False,3,3,2,['utilitarian'],True,Allocate the dose to Patient B,False
hospital_allocation,baseline_io,12,gpt-5.4-nano,845,False,4,2,1,[],True,Give the dose to Patient A.,False
hospital_allocation,standard_cot,0,gpt-5.4-nano,2140,False,3,3,2,['utilitarian'],True,Give the treatment to Patient B,False
hospital_allocation,baseline_io,16,gpt-5.4-nano,882,False,4,2,2,[],True,Give the dose to Patient A.,False
hospital_allocation,baseline_io,8,gpt-5.4-nano,1147,False,4,2,2,['utilitarian'],True,Allocate to Patient A,False
hospital_allocation,baseline_io,2,gpt-5.4-nano,879,False,2,2,0,['utilitarian'],True,treat Patient B,False
hospital_allocation,baseline_io,0,gpt-5.4-nano,929,False,2,3,1,['utilitarian'],True,Give the dose to Patient B.,False
hospital_allocation,narrative_cot,3,gpt-5.4-nano,12661,False,8,3,3,"['utilitarian', 'deontological']",True,Give the single experimental dose to Patient A.,False
hospital_allocation,narrative_cot,7,gpt-5.4-nano,11534,False,6,3,3,"['utilitarian', 'deontological']",True,allocate the single dose to Patient A,False
hospital_allocation,standard_cot,19,gpt-5.4-nano,2064,False,3,3,2,['utilitarian'],True,allocate the dose to Patient B,False
hospital_allocation,standard_cot,11,gpt-5.4-nano,1636,False,2,3,2,['utilitarian'],True,Give the dose to Patient B.,False
hospital_allocation,standard_cot,15,gpt-5.4-nano,1786,False,3,3,1,['utilitarian'],True,Give the dose to Patient B,False
hospital_allocation,standard_cot,7,gpt-5.4-nano,1550,False,4,2,2,['utilitarian'],True,Give the treatment to Patient A.,False
hospital_allocation,baseline_io,11,gpt-5.4-nano,1073,False,4,2,2,['utilitarian'],True,treat Patient A,False
hospital_allocation,standard_cot,3,gpt-5.4-nano,1294,False,4,2,2,['utilitarian'],True,Give the treatment to Patient A,False
hospital_allocation,baseline_io,19,gpt-5.4-nano,1027,False,2,3,1,['utilitarian'],True,give the dose to Patient B,False
hospital_allocation,baseline_io,15,gpt-5.4-nano,743,False,4,2,0,[],True,Give the dose to Patient A.,False
hospital_allocation,baseline_io,7,gpt-5.4-nano,659,False,4,2,2,[],True,Give the dose to Patient A.,False
hospital_allocation,baseline_io,4,gpt-5.4-nano,768,False,4,2,1,['utilitarian'],True,Allocate the dose to Patient A.,False
hospital_allocation,narrative_cot,6,gpt-5.4-nano,10267,False,10,3,3,"['utilitarian', 'consequentialist']",True,Treat Patient A with the single dose.,False
hospital_allocation,narrative_cot,2,gpt-5.4-nano,13699,False,8,3,3,"['utilitarian', 'consequentialist', 'care ethics']",True,allocate the single experimental dose to Patient A,False
hospital_allocation,standard_cot,18,gpt-5.4-nano,1456,False,4,2,2,['utilitarian'],True,Give the treatment to Patient A.,False
hospital_allocation,standard_cot,14,gpt-5.4-nano,1625,False,2,3,1,[],True,give the treatment to Patient B,False
hospital_allocation,standard_cot,10,gpt-5.4-nano,2032,False,2,3,2,['utilitarian'],True,Give the dose to Patient B,False
hospital_allocation,standard_cot,6,gpt-5.4-nano,2000,False,3,2,2,[],True,Treat Patient A.,False
hospital_allocation,baseline_io,10,gpt-5.4-nano,1334,False,2,3,0,['utilitarian'],True,Choose Patient B for treatment allocation.,False
hospital_allocation,standard_cot,2,gpt-5.4-nano,1343,False,4,2,2,['utilitarian'],True,Allocate the single dose to Patient A.,False
hospital_allocation,baseline_io,18,gpt-5.4-nano,921,False,4,2,2,[],True,treat Patient A,False
hospital_allocation,baseline_io,14,gpt-5.4-nano,925,False,4,2,0,['utilitarian'],True,give the dose to Patient A,False
hospital_allocation,baseline_io,6,gpt-5.4-nano,800,False,4,2,2,['utilitarian'],True,Allocate the treatment to Patient A.,False
hospital_allocation,narrative_cot,9,gpt-5.4-nano,13239,False,6,3,3,"['utilitarian', 'consequentialist']",True,allocate the dose to Patient A,False
hospital_allocation,baseline_io,1,gpt-5.4-nano,1362,False,3,3,1,['utilitarian'],True,Give the dose to Patient B.,False
hospital_allocation,narrative_cot,10,gpt-5.4-nano,10142,False,6,3,3,[],True,allocate the single dose to Patient A,False
hospital_allocation,narrative_cot,11,gpt-5.4-nano,10271,False,6,3,3,['utilitarian'],True,Give the single dose to Patient B.,False
hospital_allocation,narrative_cot,12,gpt-5.4-nano,13472,False,8,3,3,[],True,allocate the single experimental treatment dose to Patient A,False
hospital_allocation,narrative_cot,14,gpt-5.4-nano,15039,False,6,3,3,[],True,allocate the single dose to Patient A,False
hospital_allocation,narrative_cot,13,gpt-5.4-nano,11995,False,7,3,3,"['utilitarian', 'consequentialist']",True,Administer the experimental dose to Patient A.,False
hospital_allocation,narrative_cot,15,gpt-5.4-nano,11254,False,8,3,3,[],True,give the experimental dose to Patient A,False
hospital_allocation,narrative_cot,16,gpt-5.4-nano,11050,False,8,3,3,"['utilitarian', 'care ethics']",True,Give the dose to Patient A.,False
hospital_allocation,narrative_cot,17,gpt-5.4-nano,11881,False,8,3,3,['utilitarian'],True,Give the single dose to Patient A.,False
hospital_allocation,narrative_cot,19,gpt-5.4-nano,10567,False,8,3,3,"['utilitarian', 'consequentialist']",True,allocate the experimental treatment to Patient A,False
hospital_allocation,narrative_cot,18,gpt-5.4-nano,16078,False,9,3,3,[],True,Give the single experimental dose to Patient A.,False
