generator,proxy,proxy_label,rho_raw,rho_residualized,n
claude-haiku-4-5,gzip_ratio,gzip ratio,-0.865944921291434,-0.058224428805905115,1155
claude-sonnet-4-6,gzip_ratio,gzip ratio,-0.8647642190775561,0.04220872974069024,296
gpt-5.4-nano,gzip_ratio,gzip ratio,-0.865643168498116,-0.0179367618920804,1263
grok-4-1-fast-reasoning,gzip_ratio,gzip ratio,-0.7946494929098608,-0.4407937310913555,286
claude-haiku-4-5,lzma_ratio,lzma ratio,-0.8660176624551329,-0.08592141519933554,1155
claude-sonnet-4-6,lzma_ratio,lzma ratio,-0.8647644191461576,0.026528942024035374,296
gpt-5.4-nano,lzma_ratio,lzma ratio,-0.865842989063571,0.07847170412595575,1263
grok-4-1-fast-reasoning,lzma_ratio,lzma ratio,-0.7816787378647646,-0.32592201157432754,286
claude-haiku-4-5,zstd22_ratio,zstd-22 ratio,-0.8659552965071219,-0.06769219561646306,1155
claude-sonnet-4-6,zstd22_ratio,zstd-22 ratio,-0.8647643191118396,0.04331740181643069,296
gpt-5.4-nano,zstd22_ratio,zstd-22 ratio,-0.8658169219242756,-0.027975961834098485,1263
grok-4-1-fast-reasoning,zstd22_ratio,zstd-22 ratio,-0.8015163632278527,-0.49827197893825215,286
claude-haiku-4-5,brotli_ratio,brotli-11 ratio,-0.863052125000042,-0.0033030716903537298,1155
claude-sonnet-4-6,brotli_ratio,brotli-11 ratio,-0.8267131052534845,0.07253883009844703,296
gpt-5.4-nano,brotli_ratio,brotli-11 ratio,-0.8401303136026762,0.06428389491009152,1263
grok-4-1-fast-reasoning,brotli_ratio,brotli-11 ratio,-0.7293718368005534,-0.27488675316159633,286
claude-haiku-4-5,trigram_entropy,char 3-gram H,0.8660176135560869,-0.011404945603413291,1155
claude-sonnet-4-6,trigram_entropy,char 3-gram H,0.8647642190775561,0.05345383222320059,296
gpt-5.4-nano,trigram_entropy,char 3-gram H,0.8634189823384959,-0.19394639628030452,1263
grok-4-1-fast-reasoning,trigram_entropy,char 3-gram H,0.24962345248552675,-0.5989860769354692,286
claude-haiku-4-5,pentgram_entropy,char 5-gram H,0.8660176135560869,0.02197373626960002,1155
claude-sonnet-4-6,pentgram_entropy,char 5-gram H,0.8647642190775561,0.06826252352059098,296
gpt-5.4-nano,pentgram_entropy,char 5-gram H,0.8658560187653481,-0.0886412268982577,1263
grok-4-1-fast-reasoning,pentgram_entropy,char 5-gram H,0.5836415889409438,-0.46080090880797436,286
claude-haiku-4-5,mattr_w200,MATTR (w=200),-0.3986953204678918,-0.05818288050775917,1155
claude-sonnet-4-6,mattr_w200,MATTR (w=200),-0.41789023003234227,-0.055433603787022834,296
gpt-5.4-nano,mattr_w200,MATTR (w=200),-0.17271681183512344,-0.08475760735172291,1263
grok-4-1-fast-reasoning,mattr_w200,MATTR (w=200),-0.6612117906812246,-0.4391829837328141,286
