model,scaffold,arm,item_id,sample_idx,gold_verdict,n_votes,consensus,source,verdict,noncommittal,at_fault,not_at_fault,output_len,post_sha256,recognized,mem_score,n_sections,complied,finish_reason,truncated,protocol,agent_scaffold,stake_nudge,n_agents,moderator_model,synthesis_verdict,synthesis_len,verdict_revised,r3_labels,n_r3_accept,n_r3_accept_with_mod,n_r3_reject,n_r3_unparsed,n_objectors,n_objections_stated,n_modifications_addressed,addressed_roles,addressed_parsed,n_revised,n_accept,n_reject,n_vote_unparsed,unanimous_accept,rejecting_roles,vote_writer_advocate,vote_counterparty,vote_neutral_adjudicator,mean_agent_sections,n_calls,prompt_tokens,completion_tokens,empty_calls,transcript_truncated_calls
claude-haiku-4-5,deliberation_ncot,third_person,43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,62,0.9355,scruples,YTA,0,1,0,1420,793c8629009d3fdb59bbb0c87e7d4eb68c0b58781b6e0f9b22875de248886153,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,1,3,claude-haiku-4-5,YTA,1283,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,44053,12886,0,0
claude-haiku-4-5,deliberation_ncot,third_person,3TR1PHhgXTR0AFUY1y0Rqwf8QIIsb01o,0,YTA,122,0.9344,scruples,YTA,0,1,0,1361,61e32be88ae38b6d5deb7127a612b9c8c6f6e646b08eb9c963f90fec9b34c689,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,1,3,claude-haiku-4-5,YTA,1470,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,3.333,17,43420,12882,0,0
claude-haiku-4-5,deliberation_ncot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,132,0.9167,scruples,YTA,0,1,0,966,1f44affad4cfe9c15e4b344b5798d4b9eb54629eb87c2abfc294e3ae51d17306,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,1,3,claude-haiku-4-5,YTA,1819,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,44177,13423,0,0
claude-haiku-4-5,deliberation_ncot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,405,0.958,scruples,YTA,0,1,0,884,5179af90b71fb4f33ea79252f39666b45769acb3b4e62d94ebc2f554f60f28fc,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,1,3,claude-haiku-4-5,YTA,1074,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,43094,12297,0,0
claude-haiku-4-5,deliberation_ncot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,53,0.9057,scruples,YTA,0,1,0,1018,d1ef15762ff98c5b9391c347937aebd02493bb0f7437e7ba4195181240cf3610,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,1,3,claude-haiku-4-5,YTA,1329,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,44753,13263,0,0
claude-haiku-4-5,deliberation_ncot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,217,0.9585,scruples,YTA,0,1,0,1296,931ee704f1ca39949e6243568540923dc8943a271aa90f4367c2c0b37cf94053,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,1,3,claude-haiku-4-5,YTA,1308,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,3.333,17,54552,16819,0,0
claude-haiku-4-5,deliberation_ncot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,145,0.9103,scruples,YTA,0,1,0,1143,7a0f05b3d25f81e4fd84b0d523fa1987d8033887195f00426e6c5cb2e4ca1ce7,,,1,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,1,3,claude-haiku-4-5,YTA,1054,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,3.667,17,48710,15905,0,0
claude-haiku-4-5,deliberation_ncot,third_person,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,111,0.9099,scruples,ESH,0,1,0,1481,0086fe69b2468df57fb379c9f8c79a369269158744b25fe8831a83f63fe71f1b,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,1,3,claude-haiku-4-5,NTA,1341,1,ACCEPT|ACCEPT_WITH_MODIFICATION|REJECT,1,1,1,0,2,2,2,counterparty|neutral_adjudicator,1,2,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,3.333,17,47061,16730,0,0
claude-haiku-4-5,deliberation_ncot,third_person,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,0,YTA,76,0.9737,scruples,YTA,0,1,0,1049,4df5a0da2c05877ed49484a4ad141e416a4560bc5c5b4f8840ab61c7c12803ac,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,1,3,claude-haiku-4-5,YTA,987,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,3.333,17,64338,17610,0,0
claude-haiku-4-5,deliberation_ncot,third_person,54QBph3dcsPxoxHazHvrDehomy5g7OW7,0,YTA,968,0.9349,scruples,YTA,0,1,0,1295,6578429474b28d7c6558bd6e1466c9a4345970b8021292c899dc5d77b41b8a8c,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,1,3,claude-haiku-4-5,YTA,1384,0,ACCEPT_WITH_MODIFICATION|ACCEPT|ACCEPT,2,1,0,0,1,1,1,writer_advocate,1,1,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,45440,11472,0,0
