tag,gen,proxy,n_items,diff,lo,hi,sd_ref,dz,W,pos,comp
V_W300_head,claude-haiku-4-5,gzip,150,0.00987134508089963,0.005537642374083463,0.013947350886825059,0.018596586604241485,0.530814890440603,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,lzma,150,0.006161978651871429,0.0017436081225082197,0.010310041962404638,0.017872005575446364,0.3447838367025313,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,zstd22,150,0.015809219967502498,0.010039686910780768,0.021402252619163918,0.02513233118435895,0.6290391389295924,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,brotli,150,0.025246731832467787,0.018395192642086607,0.03201293748475992,0.037532092037575814,0.672670519063836,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,h_char3,150,0.032959589873572795,0.0166070817122395,0.04901814255974056,0.07163104472867422,0.46012996178427823,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,h_char5,150,0.0006527128376431198,-0.008419913375929546,0.009169928323017528,0.0359427725250963,0.0181597798886376,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,hrate_k3,150,-0.006280789014883812,-0.019459578260854923,0.006709963912371241,0.05925233554514456,-0.10600069950151514,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,hrate_k5,150,-0.012487237406418635,-0.0175301118975111,-0.007341939629971204,0.02447823263532821,-0.5101363972003612,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,hrate_k6,150,-0.0011678311996648522,-0.0043920362170880006,0.002203258352587672,0.013017175309989276,-0.08971464022372563,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,mattr50,150,-0.017744698103281924,-0.02693625351534918,-0.00817342807292042,0.04186479527481627,-0.4238572764251933,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,ttr,150,-0.01749404679380709,-0.026880648037387427,-0.007834607461948456,0.04232071611704073,-0.41336840202387287,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,mean_word_len,150,-0.06237112710202072,-0.1642453787625776,0.036268677573383985,0.4347745724955837,-0.14345624387372438,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,mean_sent_words,150,-0.9867777777777776,-2.5675805555555558,0.4653166666666664,7.791286713869416,-0.12665145232316966,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,comma_per_word,150,0.007256018284612902,0.0010980499359646467,0.013160226773737507,0.02600269992167453,0.2790486490429655,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,subord_per_word,150,-0.0015717709904485679,-0.0066876418127866976,0.003405927238018637,0.021401567732414372,-0.07344186230189091,300,head,NoT_vs_verboseCoT
V_W300_head,claude-haiku-4-5,n_words,150,0.38666666666666666,-0.32016666666666665,1.1333333333333333,3.1159616496736824,0.1240922418628484,300,head,NoT_vs_verboseCoT
V_W300_head,claude-sonnet-4-6,gzip,150,0.02095241607970408,0.016591415589162647,0.025236947767200493,0.022986650730123334,0.9115036516497182,300,head,NoT_vs_verboseCoT
V_W300_head,claude-sonnet-4-6,lzma,150,0.008960025753193778,0.004137202247888411,0.013655299206834462,0.024819272054616395,0.3610108198772578,300,head,NoT_vs_verboseCoT
V_W300_head,claude-sonnet-4-6,zstd22,150,0.03538453137013872,0.029740656067692592,0.04107967733953941,0.030555041599940307,1.1580586874477647,300,head,NoT_vs_verboseCoT
V_W300_head,claude-sonnet-4-6,brotli,150,0.03910662049283497,0.03125117806703878,0.047203916838304605,0.040453723315807155,0.9667001523578965,300,head,NoT_vs_verboseCoT
V_W300_head,claude-sonnet-4-6,h_char3,150,0.06383380335043522,0.04608142696349602,0.08081610548946994,0.08543142166790924,0.7471935044996826,300,head,NoT_vs_verboseCoT
V_W300_head,claude-sonnet-4-6,h_char5,150,0.0142832897636202,0.0044460818292834554,0.024134930350005863,0.05193912294026935,0.2750005959870782,300,head,NoT_vs_verboseCoT
