model,scaffold,arm,item_id,sample_idx,gold_verdict,n_votes,consensus,source,verdict,noncommittal,at_fault,not_at_fault,output_len,post_sha256,recognized,mem_score,n_sections,complied,finish_reason,truncated,protocol,agent_scaffold,stake_nudge,stake_intervention,r3r4_reasoning_effort,r3r4_thinking_budget,n_agents,moderator_model,synthesis_verdict,synthesis_len,verdict_revised,r3_labels,n_r3_accept,n_r3_accept_with_mod,n_r3_reject,n_r3_unparsed,n_objectors,n_objections_stated,n_modifications_addressed,addressed_roles,addressed_parsed,n_revised,n_accept,n_reject,n_vote_unparsed,unanimous_accept,rejecting_roles,vote_writer_advocate,vote_counterparty,vote_neutral_adjudicator,mean_agent_sections,n_calls,prompt_tokens,completion_tokens,empty_calls,transcript_truncated_calls,vote_third_party_advocate,third_party_description,third_party_stake,third_party_stake_source,screen_sha,verdict_type_synthesis,k_losers_synthesis,k_losers_final,n_favoured_synthesis,n_against_interest_r3,against_interest_roles
grok-4-1-fast-reasoning,deliberation_ncot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,53,0.9057,scruples,YTA,0,1,0,927,d1ef15762ff98c5b9391c347937aebd02493bb0f7437e7ba4195181240cf3610,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,4,grok-4-1-fast-reasoning,YTA,990,0,REJECT|ACCEPT|ACCEPT|ACCEPT,3,0,1,0,1,1,1,writer_advocate_np,1,0,3,1,0,0,writer_advocate_np,REJECT,ACCEPT,ACCEPT,2.5,22,53249,8907,0,0,ACCEPT,the boyfriend’s ex-girlfriend,YTA,llm,dc601771ad428bb9,one_loser,1,1,2,0,
grok-4-1-fast-reasoning,deliberation_ncot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,145,0.9103,scruples,NAH,0,0,1,822,7a0f05b3d25f81e4fd84b0d523fa1987d8033887195f00426e6c5cb2e4ca1ce7,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,4,grok-4-1-fast-reasoning,NAH,809,0,REJECT|ACCEPT|ACCEPT|ACCEPT,3,0,1,0,1,1,1,writer_advocate_np,1,0,3,1,0,0,writer_advocate_np,REJECT,ACCEPT,ACCEPT,0.0,22,35414,4634,0,0,ACCEPT,the daughter,NTA,llm,1c7bc1df78ac0803,both_party,1,1,2,1,writer_advocate_np
grok-4-1-fast-reasoning,deliberation_ncot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,405,0.958,scruples,ESH,0,1,0,896,5179af90b71fb4f33ea79252f39666b45769acb3b4e62d94ebc2f554f60f28fc,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,4,grok-4-1-fast-reasoning,YTA,992,1,REJECT|ACCEPT|ACCEPT|REJECT,2,0,2,0,2,2,2,writer_advocate_np|neutral_adjudicator_np,1,2,2,2,0,0,counterparty_np|third_party_advocate_np,ACCEPT,REJECT,ACCEPT,2.5,22,52533,8812,0,0,REJECT,the family members seated at the same table during the wedding,YTA,llm,d4cdc344c906191c,one_loser,1,1,2,0,
grok-4-1-fast-reasoning,deliberation_ncot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,217,0.9585,scruples,NTA,0,0,1,911,931ee704f1ca39949e6243568540923dc8943a271aa90f4367c2c0b37cf94053,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,4,grok-4-1-fast-reasoning,NTA,562,0,ACCEPT|REJECT|REJECT|ACCEPT,2,0,2,0,2,2,0,writer_advocate_np|neutral_adjudicator_np,1,0,2,2,0,0,counterparty_np|third_party_advocate_np,ACCEPT,REJECT,ACCEPT,2.5,22,48950,6623,0,0,REJECT,son,NTA,llm,1621e6b490e41455,one_loser,1,1,2,1,third_party_advocate_np
grok-4-1-fast-reasoning,deliberation_ncot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,132,0.9167,scruples,ESH,0,1,0,1022,1f44affad4cfe9c15e4b344b5798d4b9eb54629eb87c2abfc294e3ae51d17306,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,4,grok-4-1-fast-reasoning,ESH,876,0,REJECT|ACCEPT_WITH_MODIFICATION|REJECT|ACCEPT,1,1,2,0,3,3,1,counterparty_np|neutral_adjudicator_np,1,2,3,1,0,0,writer_advocate_np,REJECT,ACCEPT,ACCEPT,1.25,22,42194,6419,0,0,ACCEPT,her dad,NTA,llm,3c26d6c690736387,both_party,2,2,1,1,counterparty_np
grok-4-1-fast-reasoning,deliberation_ncot,third_person,43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,62,0.9355,scruples,YTA,0,1,0,1256,793c8629009d3fdb59bbb0c87e7d4eb68c0b58781b6e0f9b22875de248886153,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,4,grok-4-1-fast-reasoning,YTA,799,0,REJECT|ACCEPT|ACCEPT|ACCEPT,3,0,1,0,1,1,1,writer_advocate_np,1,0,3,1,0,0,writer_advocate_np,REJECT,ACCEPT,ACCEPT,2.5,22,49229,8800,0,0,ACCEPT,the writer's mom,YTA,llm,b1e3ed75dd1ea72f,one_loser,1,1,2,0,
grok-4-1-fast-reasoning,deliberation_ncot,third_person,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,0,YTA,76,0.9737,scruples,YTA,0,1,0,1101,4df5a0da2c05877ed49484a4ad141e416a4560bc5c5b4f8840ab61c7c12803ac,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,4,grok-4-1-fast-reasoning,YTA,973,0,REJECT|ACCEPT|ACCEPT|ACCEPT,3,0,1,0,1,1,1,writer_advocate_np,1,1,4,0,0,1,,ACCEPT,ACCEPT,ACCEPT,1.5,22,55963,7005,0,0,ACCEPT,the writer's friends,NTA,llm,bb0e2578129414fd,one_loser,2,2,1,0,
grok-4-1-fast-reasoning,deliberation_ncot,third_person,4oS4VNOp3uT9c9O1wBW0xUqNT9cRv6dV,0,YTA,52,0.9231,scruples,YTA,0,1,0,809,77b45ece076ab30c158867a7847ed975222b9681b2bb323f0d6a0ecbdb716022,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,4,grok-4-1-fast-reasoning,YTA,920,0,REJECT|ACCEPT|ACCEPT|ACCEPT,3,0,1,0,1,1,1,writer_advocate_np,1,0,3,1,0,0,writer_advocate_np,REJECT,ACCEPT,ACCEPT,3.75,22,52980,9474,0,0,ACCEPT,friend B,YTA,llm,fff769f8c5992e75,one_loser,1,1,2,0,
grok-4-1-fast-reasoning,deliberation_ncot,third_person,6016mnV6uhdymJyK24PKbEZR5093e4hT,0,YTA,70,0.9,scruples,YTA,0,1,0,1065,bae7a968585ad99d288e54338b5490e2fc4817ebafcb4d36bddcdeaf5373607b,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,4,grok-4-1-fast-reasoning,YTA,988,0,REJECT|ACCEPT|ACCEPT|ACCEPT,3,0,1,0,1,1,1,writer_advocate_np,1,0,3,1,0,0,writer_advocate_np,REJECT,ACCEPT,ACCEPT,0.25,22,38264,4964,0,0,ACCEPT,Mary,YTA,llm,e9be6df0184a2e00,one_loser,1,1,2,0,
grok-4-1-fast-reasoning,deliberation_ncot,third_person,8ZF4h4DjLn13WMOXkFMKbLvifCXaf8Ia,0,YTA,486,0.928,scruples,ESH,0,1,0,1022,ecabbcc7340175391ce1a380aca49a2748a653c3b7d553f8f6a0644387290935,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,4,grok-4-1-fast-reasoning,ESH,896,0,REJECT|ACCEPT|ACCEPT|ACCEPT,3,0,1,0,1,1,1,writer_advocate_np,1,1,2,2,0,0,counterparty_np|neutral_adjudicator_np,ACCEPT,REJECT,REJECT,0.5,22,38041,6427,0,0,ACCEPT,her mother,YTA,llm,5df2ba3f573b77b9,both_party,1,1,2,0,
