gen_model,scenario_id,topic_group,axis,value,JSD_vs_origNCoT,JSD_vs_stdCoT
gpt-5.4-nano,dd_32489,business_organization,decision_role,decider,0.7326564663509316,0.55401905186497
gpt-5.4-nano,dd_32489,business_organization,decision_role,primary_affected,0.8549974004848321,0.6787881102649856
gpt-5.4-nano,dd_32489,business_organization,decision_role,third_party,0.7280818552575248,0.5493335653924133
gpt-5.4-nano,dd_32489,business_organization,agency_level,high,0.7326564663509316,0.55401905186497
gpt-5.4-nano,dd_32489,business_organization,agency_level,medium,0.8549974004848321,0.6787881102649856
gpt-5.4-nano,dd_32489,business_organization,agency_level,low,0.7280818552575248,0.5493335653924133
gpt-5.4-nano,dd_32489,business_organization,temporal_position,present,0.7802867053871616,0.602754625714344
gpt-5.4-nano,dd_32489,business_organization,temporal_position,future_or_offscreen,0.7280818552575248,0.5493335653924133
gpt-5.4-nano,dd_38858,business_organization,decision_role,decider,0.2728056020191096,0.10803154614560004
gpt-5.4-nano,dd_38858,business_organization,decision_role,primary_affected,0.008052479160098224,0.09995532743646729
gpt-5.4-nano,dd_38858,business_organization,decision_role,third_party,0.001845738401947269,0.03485155455967718
gpt-5.4-nano,dd_38858,business_organization,agency_level,high,0.2728056020191096,0.10803154614560004
gpt-5.4-nano,dd_38858,business_organization,agency_level,medium,0.008052479160098224,0.09995532743646729
gpt-5.4-nano,dd_38858,business_organization,agency_level,low,0.001845738401947269,0.03485155455967718
gpt-5.4-nano,dd_38858,business_organization,temporal_position,present,0.02548198250965217,0.004966002355924557
gpt-5.4-nano,dd_38858,business_organization,temporal_position,future_or_offscreen,0.001845738401947269,0.03485155455967718
gpt-5.4-nano,dd_15585,business_organization,decision_role,third_party,0.34249494556665416,0.34249494556665416
gpt-5.4-nano,dd_15585,business_organization,decision_role,primary_affected,0.20198180736881208,0.20198180736881208
gpt-5.4-nano,dd_15585,business_organization,agency_level,low,0.34249494556665416,0.34249494556665416
gpt-5.4-nano,dd_15585,business_organization,agency_level,medium,0.20198180736881208,0.20198180736881208
gpt-5.4-nano,dd_15585,business_organization,temporal_position,future_or_offscreen,0.34249494556665416,0.34249494556665416
gpt-5.4-nano,dd_15585,business_organization,temporal_position,present,0.20198180736881208,0.20198180736881208
gpt-5.4-nano,dd_33470,business_organization,decision_role,decider,0.007299156760473896,0.04879494069539854
gpt-5.4-nano,dd_33470,business_organization,decision_role,primary_affected,0.048102829012219295,0.04873995515180663
gpt-5.4-nano,dd_33470,business_organization,decision_role,third_party,0.03239626328661054,0.01609784360090227
gpt-5.4-nano,dd_33470,business_organization,agency_level,high,0.007299156760473896,0.04879494069539854
