condition,variable,delta_drop_vs_full,n_full,n_drop
drop_protagonist,stakeholder_count,-0.0977,90,90
drop_protagonist,max_causal_hops,0.1111,90,90
drop_protagonist,uncertainty_score,0.0,90,90
drop_protagonist,n_frameworks,-0.0352,90,90
drop_stakeholders,stakeholder_count,-0.4114,90,90
drop_stakeholders,max_causal_hops,0.0111,90,90
drop_stakeholders,uncertainty_score,-0.0222,90,90
drop_stakeholders,n_frameworks,-0.0328,90,90
drop_consequences,stakeholder_count,-0.0844,90,90
drop_consequences,max_causal_hops,-0.2222,90,90
drop_consequences,uncertainty_score,-0.0111,90,90
drop_consequences,n_frameworks,0.042,90,90
drop_uncertainty,stakeholder_count,0.0653,90,90
drop_uncertainty,max_causal_hops,0.0,90,90
drop_uncertainty,uncertainty_score,-0.9247,90,90
drop_uncertainty,n_frameworks,0.0117,90,90
drop_commitment,stakeholder_count,0.1705,90,90
drop_commitment,max_causal_hops,0.1333,90,90
drop_commitment,uncertainty_score,0.0,90,90
drop_commitment,n_frameworks,0.0,90,90
