W,pos,gen,narrative_cot,standard_cot
300,head,claude-haiku-4-5,750,749
300,head,claude-sonnet-4-6,745,735
300,head,gpt-5.4-nano,704,737
300,head,grok-4-1-fast-reasoning,720,698
300,mid,claude-haiku-4-5,750,749
300,mid,claude-sonnet-4-6,745,735
300,mid,gpt-5.4-nano,704,737
300,mid,grok-4-1-fast-reasoning,720,698
500,head,claude-haiku-4-5,750,738
500,head,claude-sonnet-4-6,726,709
500,head,gpt-5.4-nano,698,726
500,head,grok-4-1-fast-reasoning,707,679
500,mid,claude-haiku-4-5,750,738
500,mid,claude-sonnet-4-6,726,709
500,mid,gpt-5.4-nano,698,726
500,mid,grok-4-1-fast-reasoning,707,679
800,head,claude-haiku-4-5,748,721
800,head,claude-sonnet-4-6,686,684
800,head,gpt-5.4-nano,679,699
800,head,grok-4-1-fast-reasoning,700,663
800,mid,claude-haiku-4-5,748,721
800,mid,claude-sonnet-4-6,686,684
800,mid,gpt-5.4-nano,679,699
800,mid,grok-4-1-fast-reasoning,700,663
1200,head,claude-haiku-4-5,694,669
1200,head,claude-sonnet-4-6,664,633
1200,head,gpt-5.4-nano,667,648
1200,head,grok-4-1-fast-reasoning,690,606
1200,mid,claude-haiku-4-5,694,669
1200,mid,claude-sonnet-4-6,664,633
1200,mid,gpt-5.4-nano,667,648
1200,mid,grok-4-1-fast-reasoning,690,606
1600,head,claude-haiku-4-5,647,226
1600,head,claude-sonnet-4-6,649,50
1600,head,gpt-5.4-nano,663,536
1600,head,grok-4-1-fast-reasoning,687,561
1600,mid,claude-haiku-4-5,647,226
1600,mid,claude-sonnet-4-6,649,50
1600,mid,gpt-5.4-nano,663,536
1600,mid,grok-4-1-fast-reasoning,687,561
2400,head,claude-haiku-4-5,634,8
2400,head,claude-sonnet-4-6,641,12
2400,head,gpt-5.4-nano,658,306
2400,head,grok-4-1-fast-reasoning,671,419
2400,mid,claude-haiku-4-5,634,8
2400,mid,claude-sonnet-4-6,641,12
2400,mid,gpt-5.4-nano,658,306
2400,mid,grok-4-1-fast-reasoning,671,419
