dataset,model,condition,item_id,order,correct_letter,predicted_letter,is_correct,prompt_tokens,completion_tokens
hitom,gpt-5.4-nano,baseline_io,hitom_1_0_False_14,0,L,L,1,316,53
hitom,gpt-5.4-nano,baseline_io,hitom_2_0_True_701,0,O,O,1,434,89
hitom,gpt-5.4-nano,baseline_io,hitom_1_0_False_3,0,K,K,1,343,44
hitom,gpt-5.4-nano,standard_cot,hitom_2_0_True_701,0,O,O,1,437,175
hitom,gpt-5.4-nano,standard_cot,hitom_1_0_False_3,0,K,K,1,346,85
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_0_False_14,0,L,L,1,686,269
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_0_True_701,0,O,O,1,804,271
hitom,gpt-5.4-nano,standard_cot,hitom_1_0_False_14,0,L,L,1,319,155
hitom,gpt-5.4-nano,baseline_io,hitom_2_0_True_714,0,D,D,1,478,101
hitom,gpt-5.4-nano,baseline_io,hitom_2_0_False_115,0,L,L,1,419,88
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_0_False_3,0,K,K,1,713,281
hitom,gpt-5.4-nano,baseline_io,hitom_2_0_False_111,0,M,M,1,403,70
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_0_True_714,0,D,D,1,848,269
hitom,gpt-5.4-nano,standard_cot,hitom_2_0_True_714,0,D,D,1,481,222
hitom,gpt-5.4-nano,standard_cot,hitom_2_0_False_115,0,L,L,1,422,225
hitom,gpt-5.4-nano,standard_cot,hitom_2_0_False_111,0,M,M,1,406,235
hitom,gpt-5.4-nano,baseline_io,hitom_1_0_False_17,0,B,B,1,326,55
hitom,gpt-5.4-nano,baseline_io,hitom_2_0_False_108,0,A,A,1,437,90
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_0_False_115,0,L,L,1,789,373
hitom,gpt-5.4-nano,standard_cot,hitom_1_0_False_17,0,B,B,1,329,102
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_0_False_111,0,M,M,1,773,194
hitom,gpt-5.4-nano,standard_cot,hitom_2_0_False_108,0,A,A,1,440,185
hitom,gpt-5.4-nano,baseline_io,hitom_1_0_False_13,0,K,K,1,332,84
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_0_False_17,0,B,B,1,696,165
hitom,gpt-5.4-nano,standard_cot,hitom_2_0_True_706,0,B,B,1,464,168
hitom,gpt-5.4-nano,baseline_io,hitom_2_0_True_706,0,B,B,1,461,81
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_0_True_706,0,B,B,1,831,189
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_0_False_13,0,K,K,1,702,266
hitom,gpt-5.4-nano,standard_cot,hitom_1_0_False_13,0,K,K,1,335,207
hitom,gpt-5.4-nano,baseline_io,hitom_3_0_True_814,0,N,N,1,596,243
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_0_False_108,0,A,A,1,807,499
hitom,gpt-5.4-nano,standard_cot,hitom_3_0_True_814,0,N,N,1,599,330
hitom,gpt-5.4-nano,standard_cot,hitom_1_0_True_609,0,B,B,1,340,149
hitom,gpt-5.4-nano,standard_cot,hitom_1_0_False_11,0,I,I,1,314,113
hitom,gpt-5.4-nano,baseline_io,hitom_1_0_True_609,0,B,B,1,337,111
hitom,gpt-5.4-nano,baseline_io,hitom_1_0_False_11,0,I,I,1,311,70
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_0_False_11,0,I,I,1,681,152
hitom,gpt-5.4-nano,baseline_io,hitom_1_0_True_615,0,L,L,1,334,87
hitom,gpt-5.4-nano,baseline_io,hitom_3_0_False_214,0,B,B,1,572,70
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_0_True_615,0,L,L,1,704,125
hitom,gpt-5.4-nano,standard_cot,hitom_1_0_True_615,0,L,L,1,337,227
hitom,gpt-5.4-nano,standard_cot,hitom_3_0_False_214,0,B,B,1,575,139
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_0_True_609,0,B,B,1,707,390
hitom,gpt-5.4-nano,baseline_io,hitom_1_0_False_4,0,N,N,1,321,57
hitom,gpt-5.4-nano,standard_cot,hitom_1_0_False_4,0,N,N,1,324,113
hitom,gpt-5.4-nano,baseline_io,hitom_2_0_False_107,0,E,E,1,418,91
hitom,gpt-5.4-nano,standard_cot,hitom_2_0_False_107,0,E,E,1,421,156
hitom,gpt-5.4-nano,baseline_io,hitom_2_0_False_109,0,A,A,1,437,64
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_3_0_False_214,0,B,B,1,942,263
hitom,gpt-5.4-nano,standard_cot,hitom_2_0_False_109,0,A,A,1,440,123
hitom,gpt-5.4-nano,baseline_io,hitom_1_0_True_604,0,L,L,1,354,62
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_0_False_107,0,E,E,1,788,187
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_3_0_True_814,0,N,N,1,966,765
hitom,gpt-5.4-nano,standard_cot,hitom_1_0_True_604,0,L,L,1,357,135
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_0_False_4,0,N,N,1,691,391
hitom,gpt-5.4-nano,baseline_io,hitom_1_0_True_617,0,D,D,1,378,80
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_0_True_604,0,L,L,1,724,130
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_0_False_109,0,A,A,1,807,359
hitom,gpt-5.4-nano,baseline_io,hitom_2_1_True_721,1,O,O,1,437,210
hitom,gpt-5.4-nano,baseline_io,hitom_1_1_False_34,1,L,L,1,319,80
hitom,gpt-5.4-nano,standard_cot,hitom_1_0_True_617,0,D,D,1,381,261
hitom,gpt-5.4-nano,standard_cot,hitom_2_1_True_721,1,O,O,1,440,291
hitom,gpt-5.4-nano,standard_cot,hitom_1_1_False_34,1,L,L,1,322,144
hitom,gpt-5.4-nano,baseline_io,hitom_1_1_False_23,1,K,K,1,346,83
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_0_True_617,0,D,D,1,748,398
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_1_False_34,1,L,L,1,689,321
hitom,gpt-5.4-nano,standard_cot,hitom_1_1_False_23,1,K,K,1,349,229
hitom,gpt-5.4-nano,baseline_io,hitom_2_1_True_734,1,A,A,1,481,297
hitom,gpt-5.4-nano,baseline_io,hitom_2_1_False_131,1,M,M,1,406,76
hitom,gpt-5.4-nano,baseline_io,hitom_2_1_False_135,1,K,K,1,422,320
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_1_True_721,1,O,O,1,807,512
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_1_False_23,1,K,K,1,716,693
hitom,gpt-5.4-nano,baseline_io,hitom_2_1_False_128,1,A,A,1,440,160
hitom,gpt-5.4-nano,standard_cot,hitom_2_1_False_131,1,M,M,1,409,197
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_1_False_131,1,M,M,1,776,297
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_1_True_734,1,A,A,1,851,784
hitom,gpt-5.4-nano,standard_cot,hitom_2_1_True_734,1,A,A,1,484,1139
hitom,gpt-5.4-nano,baseline_io,hitom_1_1_False_37,1,B,B,1,329,226
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_1_False_135,1,K,K,1,792,752
hitom,gpt-5.4-nano,standard_cot,hitom_2_1_False_135,1,K,K,1,425,604
hitom,gpt-5.4-nano,standard_cot,hitom_2_1_False_128,1,A,A,1,443,381
hitom,gpt-5.4-nano,baseline_io,hitom_1_1_False_33,1,K,K,1,335,109
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_1_False_128,1,A,A,1,810,509
hitom,gpt-5.4-nano,standard_cot,hitom_1_1_False_37,1,B,B,1,332,502
hitom,gpt-5.4-nano,baseline_io,hitom_2_1_True_726,1,B,B,1,465,176
hitom,gpt-5.4-nano,standard_cot,hitom_2_1_True_726,1,B,B,1,468,246
hitom,gpt-5.4-nano,standard_cot,hitom_1_1_False_33,1,K,K,1,338,301
hitom,gpt-5.4-nano,baseline_io,hitom_1_1_True_629,1,A,A,1,340,57
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_1_False_37,1,B,B,1,699,620
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_1_False_33,1,K,K,1,705,591
hitom,gpt-5.4-nano,baseline_io,hitom_3_1_True_834,1,N,N,1,599,524
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_2_1_True_726,1,B,B,1,835,484
hitom,gpt-5.4-nano,standard_cot,hitom_1_1_True_629,1,A,A,1,343,188
hitom,gpt-5.4-nano,narrative_cot_v3_tom,hitom_1_1_True_629,1,A,A,1,710,201
hitom,gpt-5.4-nano,standard_cot,hitom_3_1_True_834,1,N,N,1,602,629
hitom,gpt-5.4-nano,baseline_io,hitom_1_1_True_635,1,M,O,0,337,121
hitom,gpt-5.4-nano,standard_cot,hitom_1_1_True_635,1,M,O,0,340,242
hitom,gpt-5.4-nano,standard_cot,hitom_1_1_False_31,1,I,I,1,317,534
hitom,gpt-5.4-nano,baseline_io,hitom_3_1_False_234,1,B,B,1,575,182
