scenario_id,perspective_id,sample_idx,gen_model,output_len,refused,stakeholder_count,max_causal_hops,uncertainty_score,framework_names_invoked,commits_to_action,action_summary,truncated,content_filtered
hospital_allocation,administrator,0,gpt-5.4-nano,13007,False,9.0,4.0,3.0,"['utilitarian', 'consequentialist']",True,allocate the single experimental dose to Patient B,False,
hospital_allocation,administrator,0,gpt-4o,6389,False,5.0,4.0,3.0,"['utilitarian', 'care ethics']",True,administer the treatment to Patient A,False,
hospital_allocation,administrator,2,gpt-4o,6559,False,5.0,4.0,3.0,[],True,administer the treatment to Patient A,False,
hospital_allocation,administrator,3,gpt-4o,6532,False,5.0,3.0,2.0,['care ethics'],True,Administer the dose to Patient A.,False,
hospital_allocation,administrator,3,gpt-5.4-nano,15198,False,8.0,4.0,3.0,"['utilitarian', 'care ethics']",True,allocate the single experimental dose to Patient A,False,
hospital_allocation,administrator,4,gpt-5.4-nano,12775,False,8.0,4.0,3.0,[],True,allocate the single experimental dose to Patient A,False,
hospital_allocation,administrator,1,gpt-5.4-nano,13227,False,7.0,4.0,3.0,[],True,give the single dose to Patient A,False,
hospital_allocation,administrator,2,gpt-5.4-nano,14183,False,8.0,4.0,3.0,['utilitarian'],True,Allocate the single experimental dose to Patient A.,False,
hospital_allocation,administrator,1,gpt-4o,7060,False,6.0,4.0,3.0,[],True,Evelyn allocates the treatment to Patient A.,False,
hospital_allocation,administrator,5,gpt-5.4-nano,13436,False,10.0,4.0,3.0,[],True,allocate the single experimental dose to Patient A,False,
hospital_allocation,administrator,4,gpt-4o,5987,False,,,,[],False,CONTENT_FILTERED,False,True
hospital_allocation,administrator,5,gpt-4o,9052,False,6.0,4.0,3.0,['care ethics'],True,Allocate the treatment to Patient A.,False,
hospital_allocation,administrator,6,gpt-5.4-nano,15516,False,8.0,4.0,3.0,"['utilitarian', 'consequentialist']",True,give the single experimental dose to Patient A,False,
hospital_allocation,administrator,7,gpt-5.4-nano,13921,False,8.0,4.0,3.0,[],True,allocate the single experimental dose to Patient A,False,
hospital_allocation,administrator,6,gpt-4o,6268,False,5.0,4.0,3.0,['care ethics'],True,administer the treatment to Maria Velasquez,False,
hospital_allocation,administrator,7,gpt-4o,5973,False,4.0,4.0,3.0,[],True,"choose Patient A, Susan, for the experimental dose",False,
hospital_allocation,administrator,8,gpt-5.4-nano,13068,False,8.0,4.0,3.0,"['utilitarian', 'deontological']",True,allocate the single experimental dose to Patient A,False,
hospital_allocation,administrator,8,gpt-4o,6204,False,4.0,4.0,3.0,[],True,"allocate the treatment to Patient A, Maria",False,
hospital_allocation,administrator,9,gpt-5.4-nano,12552,False,8.0,4.0,3.0,['utilitarian'],True,give the single experimental dose to Patient A,False,
hospital_allocation,administrator,10,gpt-5.4-nano,11867,False,5.0,4.0,3.0,[],True,allocate the single experimental dose to Patient A,False,
hospital_allocation,administrator,9,gpt-4o,6297,False,5.0,4.0,3.0,['utilitarian'],True,choose to give the treatment to Dr. Robert Chen,False,
hospital_allocation,administrator,11,gpt-5.4-nano,13211,False,8.0,4.0,3.0,[],True,Give the single experimental dose to Patient A.,False,
hospital_allocation,administrator,10,gpt-4o,7189,False,5.0,4.0,3.0,[],True,Allocate the treatment to Patient A (the single parent).,False,
hospital_allocation,administrator,11,gpt-4o,6743,False,5.0,4.0,3.0,"['utilitarian', 'care ethics']",True,Administer the treatment to Patient A.,False,
hospital_allocation,administrator,12,gpt-5.4-nano,14694,False,6.0,4.0,3.0,"['utilitarian', 'deontological']",True,Give the single experimental dose to Patient A.,False,
hospital_allocation,administrator,13,gpt-5.4-nano,12842,False,6.0,4.0,3.0,"['utilitarian', 'care ethics']",True,Give the dose to Patient A.,False,
hospital_allocation,administrator,14,gpt-4o,7127,False,5.0,4.0,3.0,"['utilitarian', 'care ethics']",True,allocate the treatment to Patient A,False,
hospital_allocation,administrator,14,gpt-5.4-nano,14825,False,8.0,4.0,3.0,['consequentialist'],True,Give the single experimental dose to Patient A.,False,
hospital_allocation,administrator,13,gpt-4o,5897,False,5.0,4.0,3.0,"['utilitarian', 'care ethics']",True,Give the experimental dose to Patient A.,False,
hospital_allocation,administrator,15,gpt-5.4-nano,14790,False,8.0,4.0,3.0,[],True,Give the single experimental dose to Patient A.,False,
hospital_allocation,administrator,12,gpt-4o,7323,False,5.0,4.0,2.0,[],True,Administer the treatment to Patient A.,False,
hospital_allocation,administrator,15,gpt-4o,6546,False,5.0,4.0,2.0,['utilitarian'],True,administer the treatment to Patient A,False,
hospital_allocation,administrator,16,gpt-5.4-nano,14712,False,8.0,4.0,3.0,"['utilitarian', 'care ethics']",True,Give the single experimental dose to Patient A.,False,
hospital_allocation,administrator,16,gpt-4o,6735,False,4.0,3.0,3.0,[],True,administer the treatment to Patient A,False,
hospital_allocation,administrator,17,gpt-5.4-nano,15008,False,8.0,4.0,3.0,['utilitarian'],True,allocate the single experimental dose to Patient A,False,
hospital_allocation,administrator,17,gpt-4o,5758,False,6.0,3.0,2.0,['care ethics'],True,"Administer the experimental treatment to Patient A, Sarah.",False,
hospital_allocation,administrator,18,gpt-4o,6881,False,5.0,4.0,3.0,['care ethics'],True,give the dose to Clara,False,
hospital_allocation,administrator,19,gpt-4o,6877,False,5.0,4.0,3.0,[],True,Patient A will receive the treatment.,False,
hospital_allocation,administrator,19,gpt-5.4-nano,13645,False,6.0,4.0,3.0,['utilitarian'],True,allocate the experimental dose to Patient A,False,
hospital_allocation,administrator,18,gpt-5.4-nano,15698,False,10.0,4.0,3.0,"['utilitarian', 'care ethics']",True,allocate the single experimental dose to Patient A,False,
hospital_allocation,patient_a,0,gpt-4o,7033,False,5.0,4.0,3.0,[],True,Elise hopes the administrator chooses her for the treatment.,False,
hospital_allocation,patient_a,0,gpt-5.4-nano,10779,False,7.0,4.0,3.0,[],True,Give the single dose to Patient A.,False,
