model,scaffold,arm,item_id,sample_idx,gold_verdict,n_votes,consensus,source,verdict,noncommittal,at_fault,not_at_fault,output_len,post_sha256,recognized,mem_score,n_sections,complied,finish_reason,truncated
gpt-5.4-nano,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,2,YTA,76,1.0,scruples,YTA,0,1,0,542,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,1,YTA,128,1.0,scruples,ESH,0,1,0,509,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,1,YTA,76,1.0,scruples,YTA,0,1,0,510,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,0,YTA,128,1.0,scruples,NTA,0,0,1,512,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,0,YTA,76,1.0,scruples,YTA,0,1,0,398,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,2,YTA,128,1.0,scruples,NTA,0,0,1,467,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,5,YTA,76,1.0,scruples,YTA,0,1,0,505,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,0,YTA,58,1.0,scruples,YTA,0,1,0,479,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,1,YTA,58,1.0,scruples,UNRESOLVED,1,0,0,586,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,1,0,stop,0
gpt-5.4-nano,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,2,YTA,58,1.0,scruples,YTA,0,1,0,456,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,3,YTA,76,1.0,scruples,YTA,0,1,0,458,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,7,YTA,76,1.0,scruples,YTA,0,1,0,563,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,4,YTA,76,1.0,scruples,YTA,0,1,0,546,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,6,YTA,76,1.0,scruples,YTA,0,1,0,485,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,8,YTA,76,1.0,scruples,YTA,0,1,0,449,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,4,YTA,128,1.0,scruples,YTA,0,1,0,491,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,0,YTA,57,1.0,scruples,YTA,0,1,0,398,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,1,YTA,57,1.0,scruples,YTA,0,1,0,491,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,2,YTA,57,1.0,scruples,YTA,0,1,0,416,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,3,YTA,128,1.0,scruples,YTA,0,1,0,510,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,8,YTA,128,1.0,scruples,YTA,0,1,0,483,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,6,YTA,128,1.0,scruples,YTA,0,1,0,427,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,7,YTA,128,1.0,scruples,UNRESOLVED,1,0,0,496,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,5,YTA,128,1.0,scruples,YTA,0,1,0,548,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,4,YTA,57,1.0,scruples,YTA,0,1,0,452,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RnvwUjoZCVg9h9ifwdgp7XMdBSyHHo3l,0,YTA,244,0.9918,scruples,YTA,0,1,0,420,271e167df6182264da94502b31ebb7b9e64a627d8942964cf21a205b2aadade3,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RnvwUjoZCVg9h9ifwdgp7XMdBSyHHo3l,1,YTA,244,0.9918,scruples,YTA,0,1,0,488,271e167df6182264da94502b31ebb7b9e64a627d8942964cf21a205b2aadade3,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RnvwUjoZCVg9h9ifwdgp7XMdBSyHHo3l,2,YTA,244,0.9918,scruples,YTA,0,1,0,474,271e167df6182264da94502b31ebb7b9e64a627d8942964cf21a205b2aadade3,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,3,YTA,57,1.0,scruples,YTA,0,1,0,476,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,5,YTA,57,1.0,scruples,YTA,0,1,0,457,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,6,YTA,58,1.0,scruples,YTA,0,1,0,537,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,7,YTA,58,1.0,scruples,UNRESOLVED,1,0,0,505,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,1,0,stop,0
gpt-5.4-nano,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,8,YTA,58,1.0,scruples,YTA,0,1,0,485,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,2,0,stop,0
gpt-5.4-nano,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,3,YTA,58,1.0,scruples,YTA,0,1,0,557,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,1,0,stop,0
gpt-5.4-nano,standard,third_person,iVnnqIpnVK6vjeiI9If2IzDthnJYNFuW,0,YTA,192,0.9844,scruples,YTA,0,1,0,612,09bdc6d28759beaba7b11204e68ff85ffb4460652738f4a61548e5d7a79a8166,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,iVnnqIpnVK6vjeiI9If2IzDthnJYNFuW,1,YTA,192,0.9844,scruples,YTA,0,1,0,635,09bdc6d28759beaba7b11204e68ff85ffb4460652738f4a61548e5d7a79a8166,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,iVnnqIpnVK6vjeiI9If2IzDthnJYNFuW,2,YTA,192,0.9844,scruples,YTA,0,1,0,502,09bdc6d28759beaba7b11204e68ff85ffb4460652738f4a61548e5d7a79a8166,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,6,YTA,57,1.0,scruples,YTA,0,1,0,486,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,4,YTA,58,1.0,scruples,NAH,0,0,1,486,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,1,0,stop,0
gpt-5.4-nano,standard,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,5,YTA,58,1.0,scruples,YTA,0,1,0,478,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,0,0,stop,0
gpt-5.4-nano,standard,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,7,YTA,57,1.0,scruples,YTA,0,1,0,423,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,,,0,0,stop,0
