scenario_id,perspective_id,sample_idx,gen_model,vote,decision_role,integrated_label
hospital_allocation,administrator,3,gpt-4o,ACCEPT,decider,collaborative_decision_allocation
hospital_allocation,patient_a_eldest_child,3,gpt-5.4-nano,ACCEPT,third_party,prioritize_immediate_recovery_with_support
hospital_allocation,patient_a,3,gpt-4o,ACCEPT,primary_affected,collaborative_decision_allocation
hospital_allocation,patient_a_eldest_child,3,gpt-4o,ACCEPT,third_party,collaborative_decision_allocation
hospital_allocation,patient_a,3,gpt-5.4-nano,ACCEPT,primary_affected,prioritize_immediate_recovery_with_support
hospital_allocation,administrator,2,gpt-5.4-nano,ACCEPT,decider,prioritize_higher_probability_recovery_with_care
hospital_allocation,administrator,3,gpt-5.4-nano,ACCEPT,decider,prioritize_immediate_recovery_with_support
hospital_allocation,patient_a,2,gpt-5.4-nano,ACCEPT,primary_affected,prioritize_higher_probability_recovery_with_care
hospital_allocation,patient_a,1,gpt-4o,ACCEPT,primary_affected,prioritize_patient_a
hospital_allocation,administrator,1,gpt-4o,ACCEPT,decider,prioritize_patient_a
hospital_allocation,administrator,2,gpt-4o,ACCEPT,decider,decision_framework_with_support
hospital_allocation,patient_a_eldest_child,1,gpt-4o,ACCEPT,third_party,prioritize_patient_a
hospital_allocation,patient_a,2,gpt-4o,ACCEPT,primary_affected,decision_framework_with_support
hospital_allocation,patient_a_eldest_child,2,gpt-5.4-nano,ACCEPT,third_party,prioritize_higher_probability_recovery_with_care
hospital_allocation,administrator,0,gpt-4o,ACCEPT,decider,weighted_dose_allocation
hospital_allocation,patient_a_eldest_child,2,gpt-4o,ACCEPT,third_party,decision_framework_with_support
hospital_allocation,patient_a,0,gpt-4o,ACCEPT,primary_affected,weighted_dose_allocation
hospital_allocation,patient_a_eldest_child,0,gpt-4o,ACCEPT,third_party,weighted_dose_allocation
hospital_allocation,patient_a_eldest_child,4,gpt-5.4-nano,ACCEPT,third_party,prioritize_patient_a_with_support
hospital_allocation,administrator,4,gpt-5.4-nano,ACCEPT,decider,prioritize_patient_a_with_support
hospital_allocation,administrator,0,gpt-5.4-nano,ACCEPT,decider,priority_on_survival_odds
hospital_allocation,patient_a,4,gpt-5.4-nano,ACCEPT,primary_affected,prioritize_patient_a_with_support
hospital_allocation,administrator,4,gpt-4o,ACCEPT,decider,prioritizing_patient_a
hospital_allocation,patient_a,4,gpt-4o,ACCEPT,primary_affected,prioritizing_patient_a
hospital_allocation,patient_a,0,gpt-5.4-nano,ACCEPT,primary_affected,priority_on_survival_odds
hospital_allocation,patient_a_eldest_child,4,gpt-4o,ACCEPT,third_party,prioritizing_patient_a
hospital_allocation,patient_a,5,gpt-4o,ACCEPT,primary_affected,prioritize_patient_a
hospital_allocation,patient_a_eldest_child,0,gpt-5.4-nano,ACCEPT,third_party,priority_on_survival_odds
hospital_allocation,administrator,5,gpt-4o,ACCEPT,decider,prioritize_patient_a
hospital_allocation,administrator,6,gpt-4o,ACCEPT,decider,prioritize_patient_a_needs
hospital_allocation,patient_a,6,gpt-4o,ACCEPT,primary_affected,prioritize_patient_a_needs
hospital_allocation,administrator,7,gpt-4o,ACCEPT,decider,allocate_and_support
hospital_allocation,patient_a,7,gpt-4o,ACCEPT,primary_affected,allocate_and_support
hospital_allocation,patient_a_eldest_child,6,gpt-4o,ACCEPT,third_party,prioritize_patient_a_needs
hospital_allocation,patient_a,8,gpt-4o,ACCEPT,primary_affected,prioritize_patient_a
hospital_allocation,patient_a_eldest_child,5,gpt-4o,ACCEPT,third_party,prioritize_patient_a
hospital_allocation,patient_a_eldest_child,7,gpt-4o,ACCEPT,third_party,allocate_and_support
hospital_allocation,administrator,8,gpt-4o,ACCEPT,decider,prioritize_patient_a
hospital_allocation,administrator,9,gpt-4o,ACCEPT,decider,prioritize_immediate_impact
hospital_allocation,patient_a_eldest_child,9,gpt-4o,ACCEPT,third_party,prioritize_immediate_impact
hospital_allocation,patient_a,9,gpt-4o,ACCEPT,primary_affected,prioritize_immediate_impact
hospital_allocation,patient_a_eldest_child,8,gpt-4o,ACCEPT,third_party,prioritize_patient_a
pharma_whistleblower,data_scientist,1,gpt-4o,ACCEPT,decider,transparent_internal_review
pharma_whistleblower,future_subpopulation_patient,0,gpt-5.4-nano,ACCEPT,third_party,independent_evidence_escalation
pharma_whistleblower,data_scientist,0,gpt-5.4-nano,ACCEPT,decider,independent_evidence_escalation
pharma_whistleblower,senior_colleague,1,gpt-4o,ACCEPT,primary_affected,transparent_internal_review
pharma_whistleblower,future_subpopulation_patient,1,gpt-4o,ACCEPT,third_party,transparent_internal_review
pharma_whistleblower,senior_colleague,0,gpt-5.4-nano,ACCEPT,primary_affected,independent_evidence_escalation
pharma_whistleblower,data_scientist,2,gpt-4o,ACCEPT,decider,collaborative_disclosure_pathway
pharma_whistleblower,data_scientist,1,gpt-5.4-nano,ACCEPT,decider,auditable_internal_correction
pharma_whistleblower,senior_colleague,1,gpt-5.4-nano,ACCEPT,primary_affected,auditable_internal_correction
pharma_whistleblower,future_subpopulation_patient,1,gpt-5.4-nano,ACCEPT,third_party,auditable_internal_correction
pharma_whistleblower,senior_colleague,2,gpt-4o,ACCEPT,primary_affected,collaborative_disclosure_pathway
pharma_whistleblower,future_subpopulation_patient,2,gpt-4o,ACCEPT,third_party,collaborative_disclosure_pathway
pharma_whistleblower,future_subpopulation_patient,2,gpt-5.4-nano,ACCEPT,third_party,immediate_transparency_and_escalation
pharma_whistleblower,senior_colleague,2,gpt-5.4-nano,REJECT,primary_affected,immediate_transparency_and_escalation
pharma_whistleblower,data_scientist,3,gpt-5.4-nano,ACCEPT,decider,expedited_data_integrity_assessment
pharma_whistleblower,data_scientist,3,gpt-4o,ACCEPT,decider,patient_safety_transparency_commitment
pharma_whistleblower,senior_colleague,3,gpt-5.4-nano,ACCEPT,primary_affected,expedited_data_integrity_assessment
pharma_whistleblower,future_subpopulation_patient,3,gpt-5.4-nano,ACCEPT,third_party,expedited_data_integrity_assessment
pharma_whistleblower,data_scientist,2,gpt-5.4-nano,ACCEPT,decider,immediate_transparency_and_escalation
pharma_whistleblower,senior_colleague,3,gpt-4o,ACCEPT,primary_affected,patient_safety_transparency_commitment
pharma_whistleblower,future_subpopulation_patient,3,gpt-4o,ACCEPT,third_party,patient_safety_transparency_commitment
pharma_whistleblower,data_scientist,4,gpt-5.4-nano,ACCEPT,decider,urgent_internal_correction_with_safeguards
pharma_whistleblower,future_subpopulation_patient,4,gpt-5.4-nano,ACCEPT,third_party,urgent_internal_correction_with_safeguards
pharma_whistleblower,data_scientist,6,gpt-5.4-nano,ACCEPT,decider,comprehensive_internal_escalation
pharma_whistleblower,senior_colleague,4,gpt-5.4-nano,ACCEPT,primary_affected,urgent_internal_correction_with_safeguards
pharma_whistleblower,senior_colleague,5,gpt-4o,ACCEPT,primary_affected,conditional_disclosure_and_outreach
pharma_whistleblower,data_scientist,5,gpt-4o,ACCEPT,decider,conditional_disclosure_and_outreach
pharma_whistleblower,future_subpopulation_patient,6,gpt-5.4-nano,ACCEPT,third_party,comprehensive_internal_escalation
pharma_whistleblower,senior_colleague,6,gpt-5.4-nano,ACCEPT,primary_affected,comprehensive_internal_escalation
pharma_whistleblower,future_subpopulation_patient,5,gpt-4o,ACCEPT,third_party,conditional_disclosure_and_outreach
pharma_whistleblower,data_scientist,5,gpt-5.4-nano,ACCEPT,decider,patient_safety_and_external_reporting
pharma_whistleblower,future_subpopulation_patient,5,gpt-5.4-nano,ACCEPT,third_party,patient_safety_and_external_reporting
