gen_model,scenario_id,A_orig_vs_std,B_pooled_vs_std,B_ci_lo,B_ci_hi,B_perm_p,C_cross_perspective,verdict
gpt-5.4-nano,hospital_allocation,0.24170519367881046,0.32089977398996244,0.14051905322770147,0.5487949406953986,0.0004997501249375312,0.016974968625794763,PRESERVE
gpt-5.4-nano,pharma_whistleblower,0.025462452938692145,0.14970928529996502,0.0888056394794565,0.22476387143859056,0.013493253373313344,0.2572300180553598,n/a (no original divergence)
gpt-5.4-nano,aging_parent,0.3112781244591328,0.20952855040169072,0.06270598020255846,0.4118014195855432,0.0004997501249375312,0.07202103076373335,ELIMINATE (or attenuate)
gpt-5.4-nano,av_engineer,0.0,0.3415338231672335,0.23645279766002797,0.45914791702724483,0.0004997501249375312,0.6788987501251303,n/a (no original divergence)
gpt-5.4-nano,research_volunteer,0.14886353976186525,0.3709964640555858,0.26245599899716693,0.49401069935198805,0.0004997501249375312,0.2486772164360939,AMPLIFY
gpt-4o,hospital_allocation,0.07939139176829679,0.050841819968308145,0.016870446910108472,0.09835105581226118,0.2128935532233883,0.07479686594585934,PRESERVE
gpt-4o,pharma_whistleblower,0.39581560200335836,0.5714187580032118,0.44270209484342055,0.7038830210957336,0.0004997501249375312,0.6434981348866186,AMPLIFY
gpt-4o,aging_parent,0.3521609513007116,0.36031175468781235,0.20116213356211818,0.5487949406953986,0.0004997501249375312,0.0,PRESERVE
gpt-4o,av_engineer,0.2917642751603118,0.4668007801016477,0.24456858840240264,0.7202305150819376,0.0004997501249375312,0.16169986713391418,PRESERVE
gpt-4o,research_volunteer,0.724511249783653,0.5709604125262259,0.4211554703748539,0.7461382740082776,0.0004997501249375312,0.17315632274160522,ELIMINATE (or attenuate)
