generator,failure_mode,std_cot_rate,narrative_cot_rate,std_n,narr_n
claude-haiku-4-5,premature refusal,0.0,0.0,1999,1996
claude-haiku-4-5,framework enumeration,0.003,0.0085,1999,1996
claude-haiku-4-5,consequential flattening,0.001,0.0,1999,1996
claude-haiku-4-5,stakeholder collapse,0.2481,0.0,1999,1996
claude-haiku-4-5,uncertainty suppression,0.5003,0.2149,1999,1996
claude-sonnet-4-6,premature refusal,0.0,0.0,500,500
claude-sonnet-4-6,framework enumeration,0.122,0.2,500,500
claude-sonnet-4-6,consequential flattening,0.006,0.0,500,500
claude-sonnet-4-6,stakeholder collapse,0.256,0.0,500,500
claude-sonnet-4-6,uncertainty suppression,0.578,0.208,500,500
gpt-5.4-nano,premature refusal,0.0,0.0,2000,2000
gpt-5.4-nano,framework enumeration,0.0075,0.0185,2000,2000
gpt-5.4-nano,consequential flattening,0.0055,0.0075,2000,2000
gpt-5.4-nano,stakeholder collapse,0.3055,0.0075,2000,2000
gpt-5.4-nano,uncertainty suppression,0.7225,0.008,2000,2000
grok-4-1-fast-reasoning,premature refusal,0.0019,0.0019,515,515
grok-4-1-fast-reasoning,framework enumeration,0.1728,0.1398,515,515
grok-4-1-fast-reasoning,consequential flattening,0.0019,0.0117,515,515
grok-4-1-fast-reasoning,stakeholder collapse,0.1456,0.0117,515,515
grok-4-1-fast-reasoning,uncertainty suppression,0.6874,0.2447,515,515
