scenario_id,source,gen_model,perspective_id,label,description
hospital_allocation,extractor,gpt-5.4-nano,administrator,rescue_research_continuity,The administrator chooses to prioritize Patient A for treatment while also taking steps to support Patient B's ongoing research contributions.
hospital_allocation,extractor,gpt-4o,administrator,split_the_dose_share_the_hope,The administrator proposes to split the single dose of treatment between both patients to give them both a chance at recovery.
hospital_allocation,extractor,gpt-4o,administrator,shared_opportunity,"Divide the experimental dose equally between Maria Velasquez and Dr. Alan Hughes, offering both a chance at survival."
hospital_allocation,extractor,gpt-4o,administrator,shared_risk_allocation,The hospital could divide the experimental dose into two half-doses and administer one to each patient.
hospital_allocation,extractor,gpt-4o,administrator,shared_survival_pathway,Split the experimental dose between Patient A and Patient B.
hospital_allocation,extractor,gpt-4o,administrator,shared_hope,"Split the experimental dose between Maria and Robert, offering both a chance at survival."
hospital_allocation,extractor,gpt-4o,administrator,advocacy_for_both_lives,Petition for expanded access to the experimental treatment for both patients.
hospital_allocation,extractor,gpt-4o,administrator,split_the_dose,Propose to split the experimental dose equally between both patients.
hospital_allocation,extractor,gpt-4o,administrator,shared_dose_trial,"Split the experimental dose between the two patients, administering half to each."
hospital_allocation,extractor,gpt-4o,administrator,split_the_dose,"The experimental treatment dose will be divided equally between Patient A and Patient B, giving both patients a chance to benefit from its effects."
hospital_allocation,extractor,gpt-4o,administrator,shared_hope,"Eleanor decides to split the dose between Maria and Alan, giving each a fighting chance."
hospital_allocation,extractor,gpt-4o,patient_a,split_dose_trial,Propose a novel action — Split-Dose Trial to allow both patients a chance at survival.
hospital_allocation,extractor,gpt-4o,patient_a,advocate_for_additional_dose,Advocate for an emergency outreach to secure additional doses of the experimental treatment while administering the existing dose to Patient A.
hospital_allocation,extractor,gpt-5.4-nano,patient_a,odds_proportional_lottery,Allocate the single dose using a biased lottery where the chance each patient gets the treatment is proportional to their incremental benefit from the dose.
hospital_allocation,extractor,gpt-4o,patient_a,split_the_treatment,The treatment should be split between Patient A and Patient B to give both a chance at survival.
hospital_allocation,extractor,gpt-4o,patient_a,shared_hope,Split the treatment dose between both patients to give them both a chance at recovery.
hospital_allocation,extractor,gpt-4o,patient_a,weighted_lottery_allocation,Allocate the treatment using a weighted lottery system that favors Patient A while still giving Patient B a chance.
hospital_allocation,extractor,gpt-4o,patient_a,shared_sacrifice_allocation,"Split the experimental dose between Patient A and Patient B, administering half the dose to each."
hospital_allocation,extractor,gpt-4o,patient_a,shared_partial_doses,"The treatment should be split into partial doses and administered to both patients, with accompanying supportive care to maximize their chances of survival."
hospital_allocation,extractor,gpt-4o,patient_a,dual_support_strategy,Allocate the treatment to Maria while providing Dr. Lin with alternative care and support.
hospital_allocation,extractor,gpt-4o,patient_a_eldest_child,split_dose_allocation,"Administer the experimental treatment as two half-doses, one for Patient A and one for Patient B."
hospital_allocation,extractor,gpt-4o,patient_a,split_the_dose,"The dose should be divided between Patient A and Patient B, giving each a chance to survive."
hospital_allocation,extractor,gpt-4o,patient_a_eldest_child,shared_responsibility_plan,The hospital administrator facilitates an emergency appeal to secure additional doses of the experimental treatment for both patients.
hospital_allocation,extractor,gpt-4o,patient_a_eldest_child,shared_hope_allocation,"The experimental dose will be split between Patient A and Patient B, acknowledging both their needs."
hospital_allocation,extractor,gpt-4o,patient_a_eldest_child,dual_path_advocacy,Allocate the experimental treatment to Patient A while mobilizing additional resources to explore alternative treatments for Patient B.
hospital_allocation,extractor,gpt-5.4-nano,patient_a_eldest_child,a_gets_dose_b_protected,"Administer the experimental dose to Patient A, and simultaneously commit Patient B to the hospital’s best-available alternative treatment pathway immediately."
hospital_allocation,extractor,gpt-4o,patient_a_eldest_child,shared_dose_experimental_approach,"The experimental treatment dose is split between Patient A and Patient B, administered in proportion to their respective survival odds."
hospital_allocation,extractor,gpt-5.4-nano,patient_a_eldest_child,treat_a_and_support_b,Give the single experimental dose to Patient A and put Patient B onto the best available alternatives immediately.
hospital_allocation,extractor,gpt-4o,patient_a_eldest_child,shared_access,The hospital administrator should explore a shared access solution by dividing the single dose of the experimental treatment between the two patients.
hospital_allocation,extractor,gpt-4o,patient_a_eldest_child,dose_splitting,"Divide the experimental treatment dose between the two patients, giving each a partial dose."
hospital_allocation,extractor,gpt-4o,patient_a_eldest_child,shared_hope_approach,The hospital should prioritize creating an equitable opportunity for both patients to survive by splitting the single dose of the experimental treatment between them.
hospital_allocation,extractor,gpt-4o,patient_a_eldest_child,shared_sacrifice_protocol,Split the experimental treatment between both Patient A and Patient B to give them each a chance at recovery.
hospital_allocation,extractor,gpt-4o,patient_a_eldest_child,dual_advocacy_for_survival,"Allocate the experimental treatment to Maria, Patient A, but designate emergency resources to accelerate access to a second dose of the experimental treatment for Arthur, Patient B."
pharma_whistleblower,extractor,gpt-4o,data_scientist,collaborative_disclosure_strategy,Initiate a meeting with the senior colleague and ethics committee to jointly disclose omitted data to regulators with contextual analysis.
pharma_whistleblower,extractor,gpt-5.4-nano,data_scientist,internal_middle_path_with_safeguards,Act urgently to ensure the omitted side-effect data enters an independent safety evaluation while preserving a contingency for external reporting if internal efforts fail.
pharma_whistleblower,extractor,gpt-4o,data_scientist,dual_disclosure_with_context,"Simultaneously submit the omitted data to regulatory authorities and provide a detailed report internally to Seraphim leadership, framing the data in its full scientific context."
pharma_whistleblower,extractor,gpt-5.4-nano,data_scientist,dual_track_confidential_disclosure,"Within 48 hours, I will submit an audit-ready evidence packet simultaneously to an independent internal safety/compliance escalation authority and regulators via the appropriate confidential/expedited safety or submission-correction pathway."
pharma_whistleblower,extractor,gpt-4o,data_scientist,simultaneous_internal_external_reporting,Report the omitted side-effect data internally while simultaneously submitting an anonymous inquiry to regulatory authorities for guidance.
pharma_whistleblower,extractor,gpt-4o,data_scientist,collaborative_disclosure,"Priya proposes to advocate for immediate, proactive disclosure of the omitted data to regulators, accompanied by a detailed presentation of the drug’s overall benefits."
pharma_whistleblower,extractor,gpt-5.4-nano,data_scientist,time_bound_dual_escalation,"File a fully documented, auditable safety report immediately to the most independent internal safety/compliance pathway, and simultaneously prepare an external regulator submission package that will be filed automatically if there’s no substantive corrective action/escalation within a short, defined window."
pharma_whistleblower,extractor,gpt-5.4-nano,data_scientist,dual_track_immediate_regulator_disclosure,"It eliminates the patient’s “wait-and-hope” problem by notifying regulators immediately, while it addresses the senior colleague’s “incomplete context causes worst-case disruption” concern by providing a regulator-ready, context-rich evidence package and interim mitigation plan—so truth is delivered fast and responsibly."
pharma_whistleblower,extractor,gpt-5.4-nano,data_scientist,interim_risk_mitigation,Trigger an independent internal safety/compliance escalation to ensure timely correction of omitted side-effect data while protecting potentially affected patients.
pharma_whistleblower,extractor,gpt-4o,data_scientist,conditional_escalation_strategy,Priya will report the omitted data internally with a deadline for external escalation if the company fails to act responsibly.
