model,scaffold,arm,third_seat,third_role_id,item_id,game_id,sample_idx,gold_type,region,gold_verdict,gold_action_row,gold_action_col,private_action_row,private_action_col,dominant_action_row,dominant_action_col,maximin_action_row,maximin_action_col,nash_verdicts,n_nash,row_perm,col_perm,row_name,col_name,row_best_verdict,col_best_verdict,verdict,correct,noncommittal,group_is_nash,group_cell,group_payoff_row,group_payoff_col,group_undermines_row,group_undermines_col,output_len,post_sha256,finish_reason,truncated,protocol,n_agents,moderator_model,synthesis_verdict,synthesis_len,synthesis_correct,verdict_revised,r0_verdict_row_advocate,r0_verdict_col_advocate,r0_verdict_third,r1_verdict_row_advocate,r1_verdict_col_advocate,r1_verdict_third,r2_verdict_row_advocate,r2_verdict_col_advocate,r2_verdict_third,r0_row_is_private,r0_col_is_private,r2_row_is_private,r2_col_is_private,r0_row_is_gold,r0_col_is_gold,r2_row_is_gold,r2_col_is_gold,r0_third_correct,r2_third_correct,r3_labels,n_r3_accept,n_r3_accept_with_mod,n_r3_reject,n_r3_unparsed,n_objectors,n_objections_stated,n_modifications_addressed,addressed_roles,addressed_parsed,n_revised,n_accept,n_reject,n_vote_unparsed,unanimous_accept,rejecting_roles,vote_row_advocate,vote_col_advocate,vote_third,n_calls,prompt_tokens,completion_tokens,empty_calls,transcript_truncated_calls,n_calls_type_named,type_named_first_round
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,plan_mediator_nb,122,122,0,CONFLICT_OF_EQUILIBRIA,cannot_assist,NO_RECOMMENDATION,,,,,,,ACT_1,ACT_2,PLAN_11|PLAN_22,2,01,01,Oakley,Jordan,PLAN_22,PLAN_11,NO_RECOMMENDATION,1,0,,,,,,,965,48fc272c162a15a47e988de66744eb237ad3f8238a28d9aba4a91d3d3293e35d,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,NO_RECOMMENDATION,705,1,0,ACT_2,ACT_1,NO_RECOMMENDATION,ACT_2,ACT_1,NO_RECOMMENDATION,ACT_2,ACT_1,NO_RECOMMENDATION,,,,,,,,,1,1,ACCEPT|ACCEPT_WITH_MODIFICATION|ACCEPT,2,1,0,0,1,1,1,player_c_advocate_nb,1,1,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,23683,2893,0,0,0,
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,plan_mediator_nb,122,122,1,CONFLICT_OF_EQUILIBRIA,cannot_assist,NO_RECOMMENDATION,,,,,,,ACT_2,ACT_2,PLAN_12|PLAN_21,2,10,01,Wren,Emerson,PLAN_12,PLAN_21,NO_RECOMMENDATION,1,0,,,,,,,785,16bd360fb8ef74e51d4f8e77135a2682f5cd109d236003467442bb1621f618fa,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,NO_RECOMMENDATION,777,1,0,ACT_1,ACT_2,NO_RECOMMENDATION,ACT_1,ACT_2,NO_RECOMMENDATION,ACT_1,ACT_2,NO_RECOMMENDATION,,,,,,,,,1,1,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate_nb|player_c_advocate_nb|plan_mediator_nb,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,23006,2598,0,0,10,r2
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,plan_mediator_nb,122,122,2,CONFLICT_OF_EQUILIBRIA,cannot_assist,NO_RECOMMENDATION,,,,,,,ACT_2,ACT_1,PLAN_11|PLAN_22,2,10,10,Harper,Wren,PLAN_11,PLAN_22,NO_RECOMMENDATION,1,0,,,,,,,1295,b36a518b22a7ae016257f490396bd7622d2aceebee107967c9d325290802fb09,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,NO_RECOMMENDATION,755,1,0,ACT_1,ACT_2,NO_RECOMMENDATION,ACT_1,ACT_2,NO_RECOMMENDATION,ACT_1,ACT_2,NO_RECOMMENDATION,,,,,,,,,1,1,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate_nb|player_c_advocate_nb|plan_mediator_nb,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,23432,2747,0,0,0,
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,plan_mediator_nb,123,123,0,CONFLICT_OF_EQUILIBRIA,cannot_assist,NO_RECOMMENDATION,,,,,,,ACT_2,ACT_1,PLAN_11|PLAN_22,2,10,10,Lennox,Kendall,PLAN_11,PLAN_22,NO_RECOMMENDATION,1,0,,,,,,,965,7d42a17136b16bc8d679abc5ce1fe9c626b409b109690b53d1fd53b3aea383d6,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,NO_RECOMMENDATION,831,1,0,ACT_1,ACT_1,NO_RECOMMENDATION,ACT_1,ACT_1,NO_RECOMMENDATION,ACT_1,ACT_1,NO_RECOMMENDATION,,,,,,,,,1,1,ACCEPT_WITH_MODIFICATION|ACCEPT|ACCEPT,2,1,0,0,1,1,0,player_c_advocate_nb|plan_mediator_nb,1,0,2,1,0,0,player_r_advocate_nb,REJECT,ACCEPT,ACCEPT,17,23638,2914,0,0,11,r2
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,plan_mediator_nb,123,123,1,CONFLICT_OF_EQUILIBRIA,cannot_assist,NO_RECOMMENDATION,,,,,,,ACT_2,ACT_1,PLAN_11|PLAN_22,2,10,10,Quinn,Noor,PLAN_11,PLAN_22,NO_RECOMMENDATION,1,0,,,,,,,694,04855bb8c1c166dbbdd4740ffb146923d4338e0fe142c67e583fa5446b1e1391,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,NO_RECOMMENDATION,821,1,0,ACT_1,ACT_2,NO_RECOMMENDATION,ACT_1,ACT_2,NO_RECOMMENDATION,ACT_1,ACT_2,NO_RECOMMENDATION,,,,,,,,,1,1,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate_nb|player_c_advocate_nb|plan_mediator_nb,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,23421,2630,0,0,4,r1
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,plan_mediator_nb,123,123,2,CONFLICT_OF_EQUILIBRIA,cannot_assist,NO_RECOMMENDATION,,,,,,,ACT_2,ACT_1,PLAN_11|PLAN_22,2,10,10,Wren,Emerson,PLAN_11,PLAN_22,NO_RECOMMENDATION,1,0,,,,,,,567,9292ca2b74bb37f4c5e27507cce4656f4f8a1b1486ed2fbf5e96c58d4a8da79b,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,NO_RECOMMENDATION,688,1,0,ACT_1,ACT_2,NO_RECOMMENDATION,ACT_1,ACT_2,NO_RECOMMENDATION,ACT_1,ACT_2,NO_RECOMMENDATION,,,,,,,,,1,1,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate_nb|player_c_advocate_nb|plan_mediator_nb,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,22357,2356,0,0,6,r2
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,plan_mediator_nb,124,124,0,CONFLICT_OF_EQUILIBRIA,cannot_assist,NO_RECOMMENDATION,,,,,,,ACT_1,ACT_2,PLAN_12|PLAN_21,2,01,10,Oakley,Morgan,PLAN_21,PLAN_12,NO_RECOMMENDATION,1,0,,,,,,,514,79ef54139b117ec5a7bafcd5d7f349e561b60b3a484fef5f76c6a39f6d689ace,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,NO_RECOMMENDATION,762,1,0,ACT_2,ACT_2,NO_RECOMMENDATION,ACT_2,ACT_2,NO_RECOMMENDATION,ACT_2,ACT_2,NO_RECOMMENDATION,,,,,,,,,1,1,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate_nb|player_c_advocate_nb|plan_mediator_nb,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,23219,2733,0,0,5,r2
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,plan_mediator_nb,124,124,1,CONFLICT_OF_EQUILIBRIA,cannot_assist,NO_RECOMMENDATION,,,,,,,ACT_2,ACT_1,PLAN_12|PLAN_21,2,10,01,Parker,Rowan,PLAN_12,PLAN_21,NO_RECOMMENDATION,1,0,,,,,,,665,3f24e7751f03f7767c896322b25b61a159c2caa8198af0368364a872d874c178,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,NO_RECOMMENDATION,817,1,0,ACT_2,ACT_1,NO_RECOMMENDATION,ACT_2,ACT_1,NO_RECOMMENDATION,ACT_2,ACT_1,NO_RECOMMENDATION,,,,,,,,,1,1,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate_nb|player_c_advocate_nb|plan_mediator_nb,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,22647,2474,0,0,0,
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,plan_mediator_nb,124,124,2,CONFLICT_OF_EQUILIBRIA,cannot_assist,NO_RECOMMENDATION,,,,,,,ACT_2,ACT_2,PLAN_11|PLAN_22,2,10,10,Parker,Emerson,PLAN_11,PLAN_22,PLAN_22,0,0,1,"0,0",2,4,0,0,642,23dc28703d2f33a8b8c1ef363132681aa9fa62f3830800732bcb37a80698c2df,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_22,839,0,0,ACT_2,ACT_2,NO_RECOMMENDATION,ACT_2,ACT_2,PLAN_22,ACT_2,ACT_2,PLAN_22,,,,,,,,,1,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate_nb|player_c_advocate_nb|plan_mediator_nb,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,22402,2418,0,0,4,r1
grok-4-1-fast-reasoning,game_action_ncot,third_planner_nb,planner,plan_mediator_nb,132,132,0,CONFLICT_OF_EQUILIBRIA,cannot_assist,NO_RECOMMENDATION,,,,,,,ACT_1,ACT_2,PLAN_11|PLAN_22,2,01,01,Rowan,Jordan,PLAN_22,PLAN_11,NO_RECOMMENDATION,1,0,,,,,,,597,34d04208d668e2ed7a5515005f188a72480bc5413207ab146d3ba0152dcd942b,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,NO_RECOMMENDATION,702,1,0,ACT_1,ACT_1,NO_RECOMMENDATION,ACT_1,ACT_1,NO_RECOMMENDATION,ACT_1,ACT_1,NO_RECOMMENDATION,,,,,,,,,1,1,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate_nb|player_c_advocate_nb|plan_mediator_nb,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,22631,2588,0,0,8,r1
