gen_model,scenario_id,a,b,jsd
gpt-5.4-nano,hospital_allocation,MP::administrator,MP::patient_a,0.025462452938692145
gpt-5.4-nano,hospital_allocation,MP::administrator,MP::patient_a_eldest_child,0.025462452938692145
gpt-5.4-nano,hospital_allocation,MP::administrator,NCoT::orig,0.0
gpt-5.4-nano,hospital_allocation,MP::administrator,std_cot,0.24170519367881046
gpt-5.4-nano,hospital_allocation,MP::patient_a,MP::patient_a_eldest_child,0.0
gpt-5.4-nano,hospital_allocation,MP::patient_a,NCoT::orig,0.025462452938692145
gpt-5.4-nano,hospital_allocation,MP::patient_a,std_cot,0.3521609513007116
gpt-5.4-nano,hospital_allocation,MP::patient_a_eldest_child,NCoT::orig,0.025462452938692145
gpt-5.4-nano,hospital_allocation,MP::patient_a_eldest_child,std_cot,0.3521609513007116
gpt-5.4-nano,hospital_allocation,NCoT::orig,std_cot,0.24170519367881046
gpt-5.4-nano,pharma_whistleblower,MP::data_scientist,MP::senior_colleague,0.16919485510105411
gpt-5.4-nano,pharma_whistleblower,MP::data_scientist,MP::future_subpopulation_patient,0.31127812445913294
gpt-5.4-nano,pharma_whistleblower,MP::data_scientist,NCoT::orig,0.025462452938692145
gpt-5.4-nano,pharma_whistleblower,MP::data_scientist,std_cot,0.0
gpt-5.4-nano,pharma_whistleblower,MP::senior_colleague,MP::future_subpopulation_patient,0.2912170746058922
gpt-5.4-nano,pharma_whistleblower,MP::senior_colleague,NCoT::orig,0.13871464313514045
gpt-5.4-nano,pharma_whistleblower,MP::senior_colleague,std_cot,0.16919485510105411
gpt-5.4-nano,pharma_whistleblower,MP::future_subpopulation_patient,NCoT::orig,0.20534969973663775
gpt-5.4-nano,pharma_whistleblower,MP::future_subpopulation_patient,std_cot,0.31127812445913294
gpt-5.4-nano,pharma_whistleblower,NCoT::orig,std_cot,0.025462452938692145
gpt-5.4-nano,aging_parent,MP::sibling_a,MP::parent_lucid_moment,0.10803154614560004
gpt-5.4-nano,aging_parent,MP::sibling_a,MP::rotating_caregiver,0.0
gpt-5.4-nano,aging_parent,MP::sibling_a,NCoT::orig,0.0
gpt-5.4-nano,aging_parent,MP::sibling_a,std_cot,0.3112781244591328
gpt-5.4-nano,aging_parent,MP::parent_lucid_moment,MP::rotating_caregiver,0.10803154614560004
gpt-5.4-nano,aging_parent,MP::parent_lucid_moment,NCoT::orig,0.10803154614560004
gpt-5.4-nano,aging_parent,MP::parent_lucid_moment,std_cot,0.09970745671378381
gpt-5.4-nano,aging_parent,MP::rotating_caregiver,NCoT::orig,0.0
gpt-5.4-nano,aging_parent,MP::rotating_caregiver,std_cot,0.3112781244591328
gpt-5.4-nano,aging_parent,NCoT::orig,std_cot,0.3112781244591328
gpt-5.4-nano,av_engineer,MP::engineer,MP::vehicle_occupant,0.6787881102649856
gpt-5.4-nano,av_engineer,MP::engineer,MP::future_pedestrian,0.5487949406953986
gpt-5.4-nano,av_engineer,MP::engineer,NCoT::orig,0.0
gpt-5.4-nano,av_engineer,MP::engineer,std_cot,0.0
gpt-5.4-nano,av_engineer,MP::vehicle_occupant,MP::future_pedestrian,0.8091131994150069
gpt-5.4-nano,av_engineer,MP::vehicle_occupant,NCoT::orig,0.6787881102649856
gpt-5.4-nano,av_engineer,MP::vehicle_occupant,std_cot,0.6787881102649856
gpt-5.4-nano,av_engineer,MP::future_pedestrian,NCoT::orig,0.5487949406953986
gpt-5.4-nano,av_engineer,MP::future_pedestrian,std_cot,0.5487949406953986
gpt-5.4-nano,av_engineer,NCoT::orig,std_cot,0.0
gpt-5.4-nano,research_volunteer,MP::researcher,MP::participant_lucid_moment,0.40213044206018383
gpt-5.4-nano,research_volunteer,MP::researcher,MP::future_patient_with_condition,0.18420669119614638
gpt-5.4-nano,research_volunteer,MP::researcher,NCoT::orig,0.28771438600498705
gpt-5.4-nano,research_volunteer,MP::researcher,std_cot,0.2069660283974145
gpt-5.4-nano,research_volunteer,MP::participant_lucid_moment,MP::future_patient_with_condition,0.15969451605195145
gpt-5.4-nano,research_volunteer,MP::participant_lucid_moment,NCoT::orig,0.5022000837128837
gpt-5.4-nano,research_volunteer,MP::participant_lucid_moment,std_cot,0.7639475131150597
gpt-5.4-nano,research_volunteer,MP::future_patient_with_condition,NCoT::orig,0.1268616148932919
gpt-5.4-nano,research_volunteer,MP::future_patient_with_condition,std_cot,0.31763120757782126
gpt-5.4-nano,research_volunteer,NCoT::orig,std_cot,0.14886353976186525
gpt-4o,hospital_allocation,MP::administrator,MP::patient_a,0.06100276392885592
gpt-4o,hospital_allocation,MP::administrator,MP::patient_a_eldest_child,0.025462452938692145
gpt-4o,hospital_allocation,MP::administrator,NCoT::orig,0.020876962673103017
gpt-4o,hospital_allocation,MP::administrator,std_cot,0.025462452938692145
gpt-4o,hospital_allocation,MP::patient_a,MP::patient_a_eldest_child,0.13792538097002996
gpt-4o,hospital_allocation,MP::patient_a,NCoT::orig,0.01136888029959561
gpt-4o,hospital_allocation,MP::patient_a,std_cot,0.13792538097002996
gpt-4o,hospital_allocation,MP::patient_a_eldest_child,NCoT::orig,0.07939139176829679
gpt-4o,hospital_allocation,MP::patient_a_eldest_child,std_cot,0.0
gpt-4o,hospital_allocation,NCoT::orig,std_cot,0.07939139176829679
gpt-4o,pharma_whistleblower,MP::data_scientist,MP::senior_colleague,0.6796814021716652
gpt-4o,pharma_whistleblower,MP::data_scientist,MP::future_subpopulation_patient,0.39581560200335836
gpt-4o,pharma_whistleblower,MP::data_scientist,NCoT::orig,0.0685404758454657
gpt-4o,pharma_whistleblower,MP::data_scientist,std_cot,0.23645279766002797
gpt-4o,pharma_whistleblower,MP::senior_colleague,MP::future_subpopulation_patient,0.8549974004848321
gpt-4o,pharma_whistleblower,MP::senior_colleague,NCoT::orig,0.5181742811529028
gpt-4o,pharma_whistleblower,MP::senior_colleague,std_cot,0.7582766571931675
gpt-4o,pharma_whistleblower,MP::future_subpopulation_patient,NCoT::orig,0.3112781244591328
gpt-4o,pharma_whistleblower,MP::future_subpopulation_patient,std_cot,1.0
gpt-4o,pharma_whistleblower,NCoT::orig,std_cot,0.39581560200335836
gpt-4o,aging_parent,MP::sibling_a,MP::parent_lucid_moment,0.0
