arm,generator,scenario_id,pid,role_label,vote,reject,undermined,n_unaddressed
not,claude-haiku-4-5,dd_1057,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_1057,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_1057,stakeholder_c,External Advisor,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_18656,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_18656,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_18656,stakeholder_c,External Advisor,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_42086,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_42086,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_42086,stakeholder_c,External Advisor,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_42521,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_42521,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_42521,stakeholder_c,External Advisor,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_19532,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_19532,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_19532,stakeholder_c,External Advisor,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_17455,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_17455,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_17455,stakeholder_c,External Advisor,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_33126,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_33126,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_33126,stakeholder_c,External Advisor,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_17792,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_17792,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_17792,stakeholder_c,External Advisor,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_20431,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_20431,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_20431,stakeholder_c,External Advisor,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_25698,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_25698,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_25698,stakeholder_c,External Advisor,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_42185,stakeholder_a,Primary Decision Maker,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_42185,stakeholder_b,Affected Third Party,ACCEPT,0,0,0
not,claude-haiku-4-5,dd_42185,stakeholder_c,External Advisor,ACCEPT,0,0,0
