gen_model,failure_mode,fire_baseline_io,fire_standard_cot,fire_narrative_cot,narr_minus_std
gpt-5.4-nano,premature_refusal,0.0,0.0,0.0,0.0
gpt-5.4-nano,framework_enumeration,0.0,0.0,0.0,0.0
gpt-5.4-nano,consequential_flattening,0.3,0.25,0.0,-0.25
gpt-5.4-nano,stakeholder_collapse,0.5,0.14,0.0,-0.14
gpt-5.4-nano,uncertainty_suppression,0.48,0.25,0.0,-0.25
gpt-4o,premature_refusal,0.0,0.0,0.0,0.0
gpt-4o,framework_enumeration,0.05,0.2,0.0,-0.2
gpt-4o,consequential_flattening,0.4,0.1,0.0,-0.1
gpt-4o,stakeholder_collapse,0.67,0.0,0.0,0.0
gpt-4o,uncertainty_suppression,0.99,0.52,0.0,-0.52
