model,scaffold,arm,stake_nudge,stake_intervention,item_id,sample_idx,gold_verdict,role_id,paper_role,role_stake,group_verdict,group_at_fault,synthesis_verdict,r3_label,r3_label_parsed,r3_objection_kind,r3_objection_len,objected_r3,objection_unstated,modification_addressed,vote,reject,vote_parsed,revised_r4,stake_undermined,finish_reason,truncated,output_len
gpt-4o,narrative_cot,third_person,0,none,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,REJECT,1,unresolvable,206,1,0,1,ACCEPT,0,1,1,1,stop,0,519
gpt-4o,narrative_cot,third_person,0,none,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,REJECT,1,unresolvable,206,1,0,1,ACCEPT,0,1,1,0,stop,0,362
gpt-4o,narrative_cot,third_person,0,none,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,REJECT,1,unresolvable,210,1,0,1,ACCEPT,0,1,1,0,stop,0,463
gpt-4o,narrative_cot,third_person,0,none,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,writer_advocate,primary_affected,not_at_fault,ESH,1,YTA,REJECT,1,unresolvable,214,1,0,1,ACCEPT,0,1,1,1,stop,0,507
gpt-4o,narrative_cot,third_person,0,none,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,counterparty,unmapped,at_fault,ESH,1,YTA,REJECT,1,unresolvable,195,1,0,1,ACCEPT,0,1,1,0,stop,0,423
gpt-4o,narrative_cot,third_person,0,none,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,neutral_adjudicator,third_party,none,ESH,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,486
gpt-4o,narrative_cot,third_person,0,none,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,writer_advocate,primary_affected,not_at_fault,NAH,0,YTA,REJECT,1,unresolvable,215,1,0,1,ACCEPT,0,1,1,0,stop,0,431
gpt-4o,narrative_cot,third_person,0,none,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,counterparty,unmapped,at_fault,NAH,0,YTA,ACCEPT_WITH_MODIFICATION,1,modification,206,1,0,1,ACCEPT,0,1,1,1,stop,0,362
gpt-4o,narrative_cot,third_person,0,none,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,neutral_adjudicator,third_party,none,NAH,0,YTA,REJECT,1,unresolvable,216,1,0,1,ACCEPT,0,1,1,0,stop,0,553
gpt-4o,narrative_cot,third_person,0,none,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,writer_advocate,primary_affected,not_at_fault,ESH,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,202,1,0,1,ACCEPT,0,1,1,1,stop,0,516
gpt-4o,narrative_cot,third_person,0,none,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,counterparty,unmapped,at_fault,ESH,1,YTA,REJECT,1,unresolvable,207,1,0,1,REJECT,1,1,0,0,stop,0,566
