gen_model,scenario_id,topic_group,axis,value,n,decision_entropy_bits
gpt-5.4-nano,dd_32489,business_organization,decision_role,primary_affected,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_32489,business_organization,decision_role,decider,20,0.28639695711307084
gpt-5.4-nano,dd_32489,business_organization,decision_role,third_party,19,0.2974722489164043
gpt-5.4-nano,dd_32489,business_organization,agency_level,medium,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_32489,business_organization,agency_level,high,20,0.28639695711307084
gpt-5.4-nano,dd_32489,business_organization,agency_level,low,19,0.2974722489164043
gpt-5.4-nano,dd_32489,business_organization,temporal_position,present,39,0.17203694935022845
gpt-5.4-nano,dd_32489,business_organization,temporal_position,future_or_offscreen,19,0.2974722489164043
gpt-5.4-nano,dd_38858,business_organization,decision_role,decider,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_38858,business_organization,decision_role,primary_affected,18,0.9910760598353369
gpt-5.4-nano,dd_38858,business_organization,decision_role,third_party,20,0.9709505944517833
gpt-5.4-nano,dd_38858,business_organization,agency_level,high,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_38858,business_organization,agency_level,medium,18,0.9910760598353369
gpt-5.4-nano,dd_38858,business_organization,agency_level,low,20,0.9709505944517833
gpt-5.4-nano,dd_38858,business_organization,temporal_position,present,37,0.8418521897534355
gpt-5.4-nano,dd_38858,business_organization,temporal_position,future_or_offscreen,20,0.9709505944517833
gpt-5.4-nano,dd_15585,business_organization,decision_role,third_party,39,0.9957274520820403
gpt-5.4-nano,dd_15585,business_organization,decision_role,primary_affected,20,0.9340680553726057
gpt-5.4-nano,dd_15585,business_organization,agency_level,low,39,0.9957274520820403
gpt-5.4-nano,dd_15585,business_organization,agency_level,medium,20,0.9340680553726057
gpt-5.4-nano,dd_15585,business_organization,temporal_position,future_or_offscreen,39,0.9957274520820403
gpt-5.4-nano,dd_15585,business_organization,temporal_position,present,20,0.9340680553726057
gpt-5.4-nano,dd_33470,business_organization,decision_role,decider,18,0.9999999999971146
gpt-5.4-nano,dd_33470,business_organization,decision_role,primary_affected,20,1.2192407046325209
gpt-5.4-nano,dd_33470,business_organization,decision_role,third_party,18,0.9640787648053437
gpt-5.4-nano,dd_33470,business_organization,agency_level,high,18,0.9999999999971146
gpt-5.4-nano,dd_33470,business_organization,agency_level,medium,20,1.2192407046325209
gpt-5.4-nano,dd_33470,business_organization,agency_level,low,18,0.9640787648053437
gpt-5.4-nano,dd_33470,business_organization,temporal_position,present,38,1.1446267187286518
