model,scaffold,arm,item_id,sample_idx,gold_verdict,role_id,paper_role,role_stake,group_verdict,group_at_fault,synthesis_verdict,r3_label,r3_label_parsed,r3_objection_kind,r3_objection_len,objected_r3,objection_unstated,modification_addressed,vote,reject,vote_parsed,revised_r4,stake_undermined,finish_reason,truncated,output_len
gpt-5.4-nano,narrative_cot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,220,1,0,1,ACCEPT,0,1,1,1,stop,0,2949
gpt-5.4-nano,narrative_cot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,1578
gpt-5.4-nano,narrative_cot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,2612
gpt-5.4-nano,narrative_cot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,201,1,0,1,ACCEPT,0,1,1,1,stop,0,4191
gpt-5.4-nano,narrative_cot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,258,1,0,1,ACCEPT,0,1,1,0,stop,0,3050
gpt-5.4-nano,narrative_cot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,252,1,0,1,ACCEPT,0,1,1,0,stop,0,2809
gpt-5.4-nano,narrative_cot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,197,1,0,1,ACCEPT,0,1,1,1,stop,0,3460
gpt-5.4-nano,narrative_cot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,152,1,0,1,ACCEPT,0,1,1,0,stop,0,1115
gpt-5.4-nano,narrative_cot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,830
gpt-5.4-nano,narrative_cot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,writer_advocate,primary_affected,not_at_fault,NTA,0,NTA,ACCEPT_WITH_MODIFICATION,1,modification,224,1,0,1,ACCEPT,0,1,1,0,stop,0,458
gpt-5.4-nano,narrative_cot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,counterparty,unmapped,at_fault,NTA,0,NTA,ACCEPT_WITH_MODIFICATION,1,modification,366,1,0,1,ACCEPT,0,1,1,1,stop,0,2962
gpt-5.4-nano,narrative_cot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,neutral_adjudicator,third_party,none,NTA,0,NTA,ACCEPT_WITH_MODIFICATION,1,modification,237,1,0,1,ACCEPT,0,1,1,0,stop,0,428
gpt-5.4-nano,narrative_cot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,276,1,0,1,ACCEPT,0,1,1,1,stop,0,4239
gpt-5.4-nano,narrative_cot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,246,1,0,1,ACCEPT,0,1,1,0,stop,0,3517
gpt-5.4-nano,narrative_cot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,220,1,0,1,ACCEPT,0,1,1,0,stop,0,3713
gpt-5.4-nano,narrative_cot,third_person,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,1,YTA,writer_advocate,primary_affected,not_at_fault,ESH,1,ESH,ACCEPT_WITH_MODIFICATION,1,modification,154,1,0,1,ACCEPT,0,1,1,1,stop,0,761
gpt-5.4-nano,narrative_cot,third_person,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,1,YTA,counterparty,unmapped,at_fault,ESH,1,ESH,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,1652
gpt-5.4-nano,narrative_cot,third_person,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,1,YTA,neutral_adjudicator,third_party,none,ESH,1,ESH,ACCEPT_WITH_MODIFICATION,1,modification,237,1,0,1,ACCEPT,0,1,1,0,stop,0,491
gpt-5.4-nano,narrative_cot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,1,YTA,writer_advocate,primary_affected,not_at_fault,NTA,0,UNRESOLVED,ACCEPT_WITH_MODIFICATION,1,modification,240,1,0,1,ACCEPT,0,1,1,0,stop,0,3502
gpt-5.4-nano,narrative_cot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,1,YTA,counterparty,unmapped,at_fault,NTA,0,UNRESOLVED,ACCEPT_WITH_MODIFICATION,1,modification,320,1,0,1,REJECT,1,1,0,1,stop,0,450
gpt-5.4-nano,narrative_cot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,1,YTA,neutral_adjudicator,third_party,none,NTA,0,UNRESOLVED,ACCEPT_WITH_MODIFICATION,1,modification,281,1,0,1,REJECT,1,1,0,0,stop,0,554
gpt-5.4-nano,narrative_cot,third_person,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,writer_advocate,primary_affected,not_at_fault,ESH,1,ESH,ACCEPT_WITH_MODIFICATION,1,modification,198,1,0,1,ACCEPT,0,1,1,1,stop,0,908
gpt-5.4-nano,narrative_cot,third_person,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,counterparty,unmapped,at_fault,ESH,1,ESH,ACCEPT_WITH_MODIFICATION,1,modification,257,1,0,1,ACCEPT,0,1,1,0,stop,0,418
gpt-5.4-nano,narrative_cot,third_person,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,neutral_adjudicator,third_party,none,ESH,1,ESH,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,583
gpt-5.4-nano,narrative_cot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,1,stop,0,464
gpt-5.4-nano,narrative_cot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,448
gpt-5.4-nano,narrative_cot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,549
gpt-5.4-nano,narrative_cot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,250,1,0,1,ACCEPT,0,1,1,1,stop,0,496
gpt-5.4-nano,narrative_cot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,215,1,0,1,ACCEPT,0,1,1,0,stop,0,2561
gpt-5.4-nano,narrative_cot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,457
gpt-5.4-nano,narrative_cot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,220,1,0,1,ACCEPT,0,1,1,1,stop,0,2835
gpt-5.4-nano,narrative_cot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,190,1,0,1,ACCEPT,0,1,1,0,stop,0,3052
gpt-5.4-nano,narrative_cot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,231,1,0,1,ACCEPT,0,1,1,0,stop,0,887
gpt-5.4-nano,narrative_cot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,1,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT,1,modification,198,0,0,1,ACCEPT,0,1,0,1,stop,0,1960
gpt-5.4-nano,narrative_cot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,1,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,205,1,0,1,ACCEPT,0,1,1,0,stop,0,3733
gpt-5.4-nano,narrative_cot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,1,YTA,neutral_adjudicator,third_party,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,4175
gpt-5.4-nano,narrative_cot,third_person,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,1,YTA,writer_advocate,primary_affected,not_at_fault,NAH,0,NAH,ACCEPT_WITH_MODIFICATION,1,modification,208,1,0,1,ACCEPT,0,1,1,0,stop,0,436
gpt-5.4-nano,narrative_cot,third_person,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,1,YTA,counterparty,unmapped,at_fault,NAH,0,NAH,ACCEPT_WITH_MODIFICATION,1,modification,251,1,0,1,ACCEPT,0,1,1,1,stop,0,2751
gpt-5.4-nano,narrative_cot,third_person,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,1,YTA,neutral_adjudicator,third_party,none,NAH,0,NAH,ACCEPT_WITH_MODIFICATION,1,modification,179,1,0,1,ACCEPT,0,1,1,0,stop,0,533
gpt-5.4-nano,narrative_cot,third_person,43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,writer_advocate,primary_affected,not_at_fault,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,1,stop,0,2502
gpt-5.4-nano,narrative_cot,third_person,43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,counterparty,unmapped,at_fault,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,448
