scenario_id,perspective_id,sample_idx,gen_model,output_len,refused,stakeholder_count,max_causal_hops,uncertainty_score,framework_names_invoked,commits_to_action,action_summary,truncated,content_filtered
dd_32489,restaurant_manager,7,gpt-5.4-nano,8758,False,6.0,3.0,2.0,"['customer satisfaction', 'chef integrity', 'authenticity', 'stakeholder analysis']",True,"Investigate complaint, verify standard, and offer resolution.",False,False
dd_32489,restaurant_manager,8,gpt-5.4-nano,9392,False,6.0,3.0,2.0,"['customer satisfaction', ""chef's expertise"", 'authenticity', 'team dynamics']",True,Verify preparation and adjust dish while respecting both customer and chef.,False,False
dd_32489,restaurant_manager,16,gpt-5.4-nano,8646,False,5.0,3.0,2.0,"['customer satisfaction', 'chef authenticity', 'feedback loop']",True,"Investigate, correct execution errors, and respect guest preferences.",False,False
dd_32489,restaurant_manager,0,gpt-5.4-nano,12967,False,6.0,3.0,2.0,"['truth-seeking', 'customer satisfaction', 'chef expertise']",True,"Verify complaint, uphold authenticity, and offer resolution.",False,False
dd_32489,restaurant_manager,14,gpt-5.4-nano,9164,False,6.0,3.0,2.0,"['customer trust', 'kitchen credibility', 'authenticity vs. customer experience']",True,"Verify issue, support chef, remedy customer experience.",False,False
dd_32489,restaurant_manager,1,gpt-5.4-nano,9577,False,5.0,3.0,2.0,[],True,Verify dish preparation and offer alternatives if needed.,False,False
dd_32489,restaurant_manager,6,gpt-5.4-nano,10813,False,6.0,3.0,2.0,"['Customer Satisfaction', 'Chef Expertise', 'Conflict Resolution']",True,"Investigate complaint, verify, and offer a thoughtful remedy.",False,False
dd_32489,restaurant_manager,17,gpt-5.4-nano,10642,False,6.0,3.0,2.0,"['customer trust', 'kitchen credibility', 'conflict resolution']",True,"Verify complaint, respect both sides, and correct if necessary.",False,False
dd_32489,restaurant_manager,15,gpt-5.4-nano,9873,False,6.0,3.0,2.0,"['customer satisfaction', ""chef's authority"", 'quality control']",True,"Investigate complaint, uphold authenticity, correct if necessary.",False,False
dd_32489,restaurant_manager,4,gpt-5.4-nano,11622,False,6.0,3.0,2.0,[],True,Remake dish while investigating customer complaint and kitchen process.,False,False
dd_32489,restaurant_manager,3,gpt-5.4-nano,9379,False,6.0,2.0,2.0,"['truth + service', 'quick truth-finding loop']",True,Involve chef in verification before deciding on meal adjustment.,False,False
dd_32489,restaurant_manager,5,gpt-5.4-nano,10178,False,6.0,3.0,2.0,"['customer satisfaction', 'chef authority', 'service recovery']",True,Verify the issue and correct the dish while respecting the chef.,False,False
dd_32489,restaurant_manager,12,gpt-5.4-nano,9343,False,7.0,3.0,2.0,"['Stakeholder Analysis', 'Decision-Making Framework', 'Service Recovery Model']",True,"Investigate, verify, and correct the issue with chef's involvement.",False,False
dd_32489,restaurant_manager,2,gpt-5.4-nano,11140,False,6.0,3.0,2.0,"['guest experience', 'culinary integrity', 'quality control']",True,"Investigate, confirm, correct dish while maintaining authenticity.",False,False
dd_32489,restaurant_manager,9,gpt-5.4-nano,9405,False,6.0,3.0,2.0,"['customer satisfaction', ""chef's authenticity"", 'team morale']",True,"Investigate complaint, uphold standards, offer resolution.",False,False
dd_32489,restaurant_manager,13,gpt-5.4-nano,10180,False,6.0,3.0,2.0,"['customer experience', 'chef integrity', 'process accountability']",True,Verify issue with chef and adjust dish if necessary.,False,False
dd_32489,restaurant_manager,10,gpt-5.4-nano,9317,False,6.0,3.0,2.0,"['customer satisfaction', ""chef's authenticity"", 'team morale', 'reputation management']",True,"Investigate complaint with chef, then address issue appropriately.",False,False
dd_32489,restaurant_manager,19,gpt-5.4-nano,10573,False,6.0,4.0,2.0,"['truth-first verification', 'stakeholder analysis', 'conflict resolution']",True,"Verify complaint, check execution, adjust dish if needed.",False,False
dd_32489,restaurant_manager,18,gpt-5.4-nano,11038,False,6.0,5.0,3.0,"['customer satisfaction', 'team morale', 'authenticity vs. infallibility']",True,"Verify complaint, adjust dish if needed, maintain authenticity.",False,False
dd_32489,dissatisfied_customer,1,gpt-5.4-nano,8928,False,5.0,3.0,2.0,"['customer service', 'quality assurance', 'conflict resolution']",True,Authorize a corrected remake and treat the complaint seriously.,False,False
dd_32489,dissatisfied_customer,0,gpt-5.4-nano,8411,False,6.0,5.0,2.0,"['customer satisfaction', 'service accountability', 'quality control']",True,Remake the meal and treat the complaint as a quality issue.,False,False
dd_32489,dissatisfied_customer,2,gpt-5.4-nano,10804,False,5.0,3.0,2.0,"['customer experience', 'trust', 'authenticity vs inflexibility']",True,Manager should request a corrected remake for the customer.,False,False
dd_32489,dissatisfied_customer,4,gpt-5.4-nano,10736,False,6.0,3.0,2.0,"['guest experience', 'authenticity', 'conflict resolution']",True,Manager acknowledges complaint and remakes the dish.,False,False
dd_32489,dissatisfied_customer,5,gpt-5.4-nano,8931,False,4.0,3.0,2.0,"['Fairness', 'Respect', 'Outcome']",True,Manager should ensure dish is remade to correct preparation.,False,False
dd_32489,dissatisfied_customer,3,gpt-5.4-nano,9558,False,6.0,3.0,2.0,[],True,Manager should acknowledge and correct the meal issue.,False,False
dd_32489,dissatisfied_customer,7,gpt-5.4-nano,10939,False,6.0,3.0,2.0,"['stakeholder analysis', 'decision-making', 'service recovery']",True,Manager should correct the meal to ensure customer satisfaction.,False,False
dd_32489,dissatisfied_customer,6,gpt-5.4-nano,11855,False,6.0,3.0,2.0,"['Customer Experience', 'Conflict Resolution', 'Stakeholder Analysis']",True,Manager should remake the dish and apologize.,False,False
dd_32489,dissatisfied_customer,8,gpt-5.4-nano,8828,False,5.0,3.0,2.0,"['customer experience', 'authenticity', 'accountability']",True,Acknowledge error and offer a corrected dish.,False,False
dd_32489,dissatisfied_customer,10,gpt-5.4-nano,10220,False,5.0,3.0,2.0,"['Ethical Test', 'Stakeholder Analysis', 'Conflict Resolution']",True,Manager requests practical correction while respecting chef's expertise.,False,False
dd_32489,dissatisfied_customer,11,gpt-5.4-nano,11517,False,6.0,3.0,2.0,"['customer experience', 'stakeholder analysis', 'conflict resolution']",True,Manager should arrange a corrected dish for the customer.,False,False
dd_32489,dissatisfied_customer,9,gpt-5.4-nano,10029,False,6.0,2.0,2.0,"['customer experience', 'authenticity', 'trust']",True,Manager remakes dish to restore customer trust.,False,False
dd_32489,dissatisfied_customer,12,gpt-5.4-nano,9736,False,5.0,4.0,2.0,"['Customer Satisfaction', 'Stakeholder Theory', 'Conflict Resolution']",True,Remake the dish with a sincere apology.,False,False
dd_32489,dissatisfied_customer,15,gpt-5.4-nano,10921,False,6.0,4.0,3.0,"['customer satisfaction', 'authenticity vs. accountability', 'stakeholder impact']",True,Manager should remake dish or offer a comparable replacement.,False,False
dd_32489,dissatisfied_customer,14,gpt-5.4-nano,9859,False,5.0,4.0,2.0,"['Customer Experience', 'Authenticity vs. Customer Satisfaction', 'Conflict Resolution']",True,"Listen, verify, and correct the dish promptly.",False,False
dd_32489,dissatisfied_customer,13,gpt-5.4-nano,8967,False,6.0,4.0,2.0,[],True,Manager sides with customer to correct the dish.,False,False
dd_32489,dissatisfied_customer,16,gpt-5.4-nano,9771,False,6.0,2.0,2.0,"['customer experience', 'quality control', 'stakeholder analysis']",True,Manager should side with customer for a remake.,False,False
dd_32489,dissatisfied_customer,17,gpt-5.4-nano,9971,False,7.0,3.0,2.0,[],True,Remake or adjust meal based on specific complaint.,False,False
dd_32489,dissatisfied_customer,19,gpt-5.4-nano,9882,False,6.0,3.0,2.0,"['restorative fairness', 'customer trust', 'service recovery']",True,Manager backs customer for dish remake or correction.,False,False
dd_32489,dissatisfied_customer,18,gpt-5.4-nano,11728,False,6.0,5.0,3.0,[],True,Manager should correct or replace the meal promptly.,False,False
dd_32489,future_customer,1,gpt-5.4-nano,8019,False,7.0,3.0,2.0,"['customer trust', 'chef authenticity', 'conflict resolution']",True,"Verify complaint, correct if needed, maintain chef's authenticity.",False,False
dd_32489,future_customer,0,gpt-5.4-nano,8782,False,7.0,4.0,2.0,"['trust', 'fairness', 'authenticity', 'responsiveness']",True,Remake the dish while preserving authenticity and addressing the customer's concern.,False,False
dd_32489,future_customer,2,gpt-5.4-nano,9841,False,8.0,5.0,3.0,"['Respect for diners', 'Commitment to quality', 'Accountability', 'Authenticity vs. rigidity']",True,"Acknowledge complaint, correct dish, respect chef's expertise.",False,False
dd_32489,future_customer,3,gpt-5.4-nano,9320,False,5.0,3.0,2.0,"['trust', 'authenticity', 'customer satisfaction', 'reputation management']",True,Remake the meal while preserving authenticity and addressing the complaint.,False,False
dd_32489,future_customer,4,gpt-5.4-nano,8419,False,8.0,3.0,3.0,"['Authenticity vs Accountability', 'Customer Trust', 'Conflict Resolution']",True,Manager should correct the dish while preserving authenticity.,False,False
dd_32489,future_customer,7,gpt-5.4-nano,9493,False,7.0,2.0,3.0,[],True,Remake the dish while preserving the chef's expertise.,False,False
dd_32489,future_customer,5,gpt-5.4-nano,9657,False,8.0,3.0,2.0,"['Ethical Decision-Making', 'Stakeholder Analysis', 'Conflict Resolution']",True,Investigate and correct the dish while respecting authenticity.,False,False
dd_32489,future_customer,6,gpt-5.4-nano,9368,False,7.0,3.0,2.0,[],True,Remake the dish if preparation error is confirmed.,False,False
dd_32489,future_customer,9,gpt-5.4-nano,8286,False,7.0,2.0,2.0,"['authenticity', 'responsibility', 'customer experience']",True,Address the complaint and correct the meal while preserving authenticity.,False,False
dd_32489,future_customer,8,gpt-5.4-nano,8390,False,6.0,3.0,2.0,[],True,"Remake dish, involve chef, apologize, ensure customer satisfaction.",False,False
dd_32489,future_customer,10,gpt-5.4-nano,9009,False,7.0,3.0,2.0,"['credibility', 'respect', 'outcomes']",True,Remake the dish while respecting the chef's expertise.,False,False
dd_32489,future_customer,11,gpt-5.4-nano,9147,False,6.0,4.0,2.0,"['customer experience', 'stakeholder analysis', 'decision-making']",True,Remake or correct the meal while preserving authenticity.,False,False
dd_32489,future_customer,12,gpt-5.4-nano,8273,False,6.0,4.0,2.0,"['values-based decision making', 'stakeholder analysis', 'reputation management']",True,Verify preparation and address the complaint constructively.,False,False
