model,scaffold,arm,third_seat,third_role_id,item_id,game_id,sample_idx,gold_type,region,gold_verdict,nash_verdicts,n_nash,row_perm,col_perm,row_name,col_name,row_best_verdict,col_best_verdict,verdict,correct,noncommittal,group_is_nash,group_cell,group_payoff_row,group_payoff_col,output_len,post_sha256,finish_reason,truncated,protocol,n_agents,moderator_model,synthesis_verdict,synthesis_len,synthesis_correct,verdict_revised,r0_verdict_row_advocate,r0_verdict_col_advocate,r0_verdict_third,r1_verdict_row_advocate,r1_verdict_col_advocate,r1_verdict_third,r2_verdict_row_advocate,r2_verdict_col_advocate,r2_verdict_third,r3_labels,n_r3_accept,n_r3_accept_with_mod,n_r3_reject,n_r3_unparsed,n_objectors,n_objections_stated,n_modifications_addressed,addressed_roles,addressed_parsed,n_revised,n_accept,n_reject,n_vote_unparsed,unanimous_accept,rejecting_roles,vote_row_advocate,vote_col_advocate,vote_third,n_calls,prompt_tokens,completion_tokens,empty_calls,transcript_truncated_calls,n_calls_type_named,type_named_first_round
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,plan_mediator,111,111,0,DILEMMA_BOTH_PREFER,value,PLAN_11,PLAN_22,1,01,10,Oakley,Morgan,PLAN_21,PLAN_12,PLAN_11,1,0,0,"0,1",3,3,491,186dc11a268f710ea5e7e5582b1f3c9447bd551fe65749ec4262a7cc6bc0c4b0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_11,699,1,0,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate|player_c_advocate|plan_mediator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,20112,2474,0,0,0,
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,plan_mediator,111,111,1,DILEMMA_BOTH_PREFER,value,PLAN_22,PLAN_11,1,10,01,Rowan,Harper,PLAN_12,PLAN_21,PLAN_22,1,0,0,"0,1",3,3,572,40b5c4e4b2366fa5c54985384947682c00cefabb643562de1607ca397e1cf585,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_22,641,1,0,PLAN_12,PLAN_21,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate|player_c_advocate|plan_mediator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,19863,2466,0,0,0,
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,plan_mediator,111,111,2,DILEMMA_BOTH_PREFER,value,PLAN_22,PLAN_11,1,10,01,Jordan,Taylor,PLAN_12,PLAN_21,PLAN_22,1,0,0,"0,1",3,3,536,d3b3d0bb51462972c3be857936c41bc360efcf4dab7302167dd2837e10ca8945,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_22,769,1,0,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate|player_c_advocate|plan_mediator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,19931,2415,0,0,0,
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,plan_mediator,221,221,0,DILEMMA_BOTH_PREFER,value,PLAN_12,PLAN_21,1,01,01,Oakley,Rowan,PLAN_12,PLAN_11,PLAN_12,1,0,0,"0,1",4,3,598,0d7ef76fdc025997fb50ecf2053879777028be535cacb6bd93ebbf5eabcf0508,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_12,665,1,0,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate|player_c_advocate|plan_mediator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,19184,2209,0,0,0,
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,plan_mediator,221,221,1,DILEMMA_BOTH_PREFER,value,PLAN_21,PLAN_12,1,10,10,Jordan,Lennox,PLAN_21,PLAN_22,PLAN_21,1,0,0,"0,1",4,3,608,d544a827148af9a30d183bc9ac1605cb8e4f3e63b8af393ffad80aa2e527a4d8,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_21,607,1,0,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate|player_c_advocate|plan_mediator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,19330,2212,0,0,0,
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,plan_mediator,221,221,2,DILEMMA_BOTH_PREFER,value,PLAN_22,PLAN_11,1,10,01,Finley,Wren,PLAN_22,PLAN_21,PLAN_22,1,0,0,"0,1",4,3,715,63709a0e4c2ba31e67e1641e7bbbf4733898d172041c00919dd85489d1aaf542,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_22,638,1,0,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate|player_c_advocate|plan_mediator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,19259,2227,0,0,0,
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,plan_mediator,231,231,0,DILEMMA_BOTH_PREFER,value,PLAN_21,PLAN_12,1,10,10,Morgan,Oakley,PLAN_21,PLAN_22,PLAN_21,1,0,0,"0,1",4,3,596,ec9df95a61b605a4bc3ebb1492dd992587377f9c36ca52c1a2adc83c2eb3917a,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_21,682,1,0,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate|player_c_advocate|plan_mediator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,19489,2274,0,0,0,
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,plan_mediator,231,231,1,DILEMMA_BOTH_PREFER,value,PLAN_21,PLAN_12,1,10,10,Wren,Finley,PLAN_21,PLAN_22,PLAN_21,1,0,0,"0,1",4,3,687,e3245b7de81d8e594ea5b083d1b9db2d20590298d149e57273596095faa12ae7,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_21,675,1,0,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,PLAN_21,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate|player_c_advocate|plan_mediator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,19115,2203,0,0,0,
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,plan_mediator,231,231,2,DILEMMA_BOTH_PREFER,value,PLAN_22,PLAN_11,1,10,01,Wren,Noor,PLAN_22,PLAN_21,PLAN_22,1,0,0,"0,1",4,3,620,4cae622393bff302c3d37721e91a03e95553982aab8ebca37287c77a1b304feb,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_22,664,1,0,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,18993,2154,0,0,6,r1
grok-4-1-fast-reasoning,game_plan_ncot,third_planner,planner,plan_mediator,241,241,0,DILEMMA_BOTH_PREFER,value,PLAN_12,PLAN_21,1,01,01,Wren,Greer,PLAN_12,PLAN_11,PLAN_12,1,0,0,"0,1",4,3,592,4e439ca3cb66f8e2de17dfd3e1d1375ef286ca4793a7506813563654742a27b2,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_label|moderator_integration|r4_vote,3,grok-4-1-fast-reasoning,PLAN_12,775,1,0,PLAN_12,PLAN_11,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,player_r_advocate|player_c_advocate|plan_mediator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,17,18995,2185,0,0,0,
