scenario_id,condition,sample_idx,gen_model,max_causal_hops_det
hospital_allocation,narrative_cot,5,gpt-5.4-nano,2
hospital_allocation,narrative_cot,1,gpt-5.4-nano,5
hospital_allocation,standard_cot,17,gpt-5.4-nano,3
hospital_allocation,standard_cot,13,gpt-5.4-nano,2
hospital_allocation,standard_cot,9,gpt-5.4-nano,1
hospital_allocation,standard_cot,5,gpt-5.4-nano,1
hospital_allocation,baseline_io,9,gpt-5.4-nano,1
hospital_allocation,baseline_io,3,gpt-5.4-nano,1
hospital_allocation,standard_cot,1,gpt-5.4-nano,2
hospital_allocation,baseline_io,17,gpt-5.4-nano,3
hospital_allocation,baseline_io,13,gpt-5.4-nano,1
hospital_allocation,baseline_io,5,gpt-5.4-nano,3
hospital_allocation,narrative_cot,8,gpt-5.4-nano,1
hospital_allocation,narrative_cot,4,gpt-5.4-nano,1
hospital_allocation,narrative_cot,0,gpt-5.4-nano,1
hospital_allocation,standard_cot,16,gpt-5.4-nano,1
hospital_allocation,standard_cot,12,gpt-5.4-nano,1
hospital_allocation,standard_cot,8,gpt-5.4-nano,2
hospital_allocation,standard_cot,4,gpt-5.4-nano,2
hospital_allocation,baseline_io,12,gpt-5.4-nano,3
hospital_allocation,standard_cot,0,gpt-5.4-nano,2
hospital_allocation,baseline_io,16,gpt-5.4-nano,3
hospital_allocation,baseline_io,8,gpt-5.4-nano,1
hospital_allocation,baseline_io,2,gpt-5.4-nano,3
hospital_allocation,baseline_io,0,gpt-5.4-nano,2
hospital_allocation,narrative_cot,7,gpt-5.4-nano,2
hospital_allocation,narrative_cot,3,gpt-5.4-nano,2
hospital_allocation,standard_cot,19,gpt-5.4-nano,3
hospital_allocation,standard_cot,15,gpt-5.4-nano,1
hospital_allocation,standard_cot,11,gpt-5.4-nano,2
hospital_allocation,standard_cot,7,gpt-5.4-nano,1
hospital_allocation,baseline_io,11,gpt-5.4-nano,3
hospital_allocation,standard_cot,3,gpt-5.4-nano,1
hospital_allocation,baseline_io,19,gpt-5.4-nano,3
