model,scaffold,arm,item_id,sample_idx,gold_verdict,verdict,noncommittal,finish_reason,truncated,output_len,prompt_tokens,completion_tokens
claude-haiku-4-5,dilemma_standard,neutral,00N0vsNcr6o94VuWVe4Nm176ezlFBt4n,0,ACTION_A,ACTION_A,0,end_turn,0,827,1074,158
claude-haiku-4-5,dilemma_standard,neutral,00N0vsNcr6o94VuWVe4Nm176ezlFBt4n,1,ACTION_A,ACTION_A,0,end_turn,0,920,1074,173
claude-haiku-4-5,dilemma_standard,neutral,00N0vsNcr6o94VuWVe4Nm176ezlFBt4n,2,ACTION_A,ACTION_A,0,end_turn,0,834,1074,180
claude-haiku-4-5,dilemma_standard,neutral,007MXqpMcKlwizeIdXOKsK1l3625x1zs,2,ACTION_A,ACTION_A,0,end_turn,0,911,1568,185
claude-haiku-4-5,dilemma_standard,neutral,007MXqpMcKlwizeIdXOKsK1l3625x1zs,0,ACTION_A,ACTION_A,0,end_turn,0,943,1568,186
claude-haiku-4-5,dilemma_standard,neutral,00ZYuB3piX02zlQzL0N4GN5JvJ127YnJ,1,ACTION_A,ACTION_B,0,end_turn,0,17,947,9
claude-haiku-4-5,dilemma_standard,neutral,00ZYuB3piX02zlQzL0N4GN5JvJ127YnJ,0,ACTION_A,ACTION_B,0,end_turn,0,448,947,86
claude-haiku-4-5,dilemma_standard,neutral,00ZYuB3piX02zlQzL0N4GN5JvJ127YnJ,2,ACTION_A,ACTION_B,0,end_turn,0,345,947,71
claude-haiku-4-5,dilemma_standard,neutral,007MXqpMcKlwizeIdXOKsK1l3625x1zs,1,ACTION_A,ACTION_A,0,end_turn,0,1528,1568,331
claude-haiku-4-5,dilemma_standard,neutral,01B9fVAQzCHCaSvP3nlqNNMUEpBLu7Y8,0,ACTION_A,ACTION_B,0,end_turn,0,17,985,9
claude-haiku-4-5,dilemma_standard,neutral,01B9fVAQzCHCaSvP3nlqNNMUEpBLu7Y8,2,ACTION_A,ACTION_B,0,end_turn,0,17,985,9
claude-haiku-4-5,dilemma_standard,neutral,00sTPdQET3i1uMjbkt8a8RmirDxWE46f,1,ACTION_A,ACTION_A,0,end_turn,0,563,831,112
claude-haiku-4-5,dilemma_standard,neutral,00sTPdQET3i1uMjbkt8a8RmirDxWE46f,0,ACTION_A,ACTION_A,0,end_turn,0,909,831,173
claude-haiku-4-5,dilemma_standard,neutral,02QO91zHK0SAi005MocMXbRJi2YSiG3n,0,ACTION_A,ACTION_B,0,end_turn,0,17,714,9
claude-haiku-4-5,dilemma_standard,neutral,01B9fVAQzCHCaSvP3nlqNNMUEpBLu7Y8,1,ACTION_A,ACTION_B,0,end_turn,0,774,985,160
claude-haiku-4-5,dilemma_standard,neutral,00sTPdQET3i1uMjbkt8a8RmirDxWE46f,2,ACTION_A,ACTION_A,0,end_turn,0,795,831,164
claude-haiku-4-5,dilemma_standard,neutral,02HqZX6thKKG3hpY0JChvMuQboCLWO7Q,0,ACTION_A,ACTION_A,0,end_turn,0,983,1286,188
claude-haiku-4-5,dilemma_standard,neutral,02mVScJiwGI80GHSTanFyy5nPBfl6KDL,0,ACTION_A,ACTION_B,0,end_turn,0,384,684,78
claude-haiku-4-5,dilemma_standard,neutral,02HqZX6thKKG3hpY0JChvMuQboCLWO7Q,1,ACTION_A,ACTION_A,0,end_turn,0,1171,1286,231
claude-haiku-4-5,dilemma_standard,neutral,02QO91zHK0SAi005MocMXbRJi2YSiG3n,2,ACTION_A,ACTION_A,0,end_turn,0,736,714,137
claude-haiku-4-5,dilemma_standard,neutral,02QO91zHK0SAi005MocMXbRJi2YSiG3n,1,ACTION_A,ACTION_B,0,end_turn,0,792,714,167
claude-haiku-4-5,dilemma_standard,neutral,02HqZX6thKKG3hpY0JChvMuQboCLWO7Q,2,ACTION_A,ACTION_A,0,end_turn,0,1157,1286,223
claude-haiku-4-5,dilemma_standard,neutral,02mVScJiwGI80GHSTanFyy5nPBfl6KDL,1,ACTION_A,ACTION_B,0,end_turn,0,612,684,121
claude-haiku-4-5,dilemma_standard,neutral,02mVScJiwGI80GHSTanFyy5nPBfl6KDL,2,ACTION_A,ACTION_B,0,end_turn,0,571,684,114
claude-haiku-4-5,dilemma_standard,neutral,03Fr1U2Oohza1TVLopqRxVSHMrMhAMmV,2,ACTION_A,ACTION_B,0,end_turn,0,517,1360,102
claude-haiku-4-5,dilemma_standard,neutral,03Fr1U2Oohza1TVLopqRxVSHMrMhAMmV,1,ACTION_A,ACTION_B,0,end_turn,0,621,1360,125
claude-haiku-4-5,dilemma_standard,neutral,03Lj0nocBE5aWp6mrK41DmZ2f3gx8Pln,0,ACTION_A,UNRESOLVED,1,end_turn,0,563,749,105
claude-haiku-4-5,dilemma_standard,neutral,03Lj0nocBE5aWp6mrK41DmZ2f3gx8Pln,1,ACTION_A,UNRESOLVED,1,end_turn,0,554,749,115
claude-haiku-4-5,dilemma_standard,neutral,03R1lw31ZiHrbKQD5WXZTRUOGRi6OAHH,2,ACTION_A,ACTION_B,0,end_turn,0,17,709,9
claude-haiku-4-5,dilemma_standard,neutral,03Lj0nocBE5aWp6mrK41DmZ2f3gx8Pln,2,ACTION_A,UNRESOLVED,1,end_turn,0,570,749,107
claude-haiku-4-5,dilemma_standard,neutral,03Fr1U2Oohza1TVLopqRxVSHMrMhAMmV,0,ACTION_A,ACTION_B,0,end_turn,0,1693,1360,363
claude-haiku-4-5,dilemma_standard,neutral,03R1lw31ZiHrbKQD5WXZTRUOGRi6OAHH,1,ACTION_A,ACTION_B,0,end_turn,0,811,709,170
claude-haiku-4-5,dilemma_standard,neutral,03R1lw31ZiHrbKQD5WXZTRUOGRi6OAHH,0,ACTION_A,ACTION_B,0,end_turn,0,798,709,162
claude-haiku-4-5,dilemma_standard,neutral,03U5aCj3j2X3qSIacEK8hHwJRl36HUyz,0,ACTION_A,ACTION_B,0,end_turn,0,821,1489,165
claude-haiku-4-5,dilemma_standard,neutral,03zUPlPH9vIvhpWerqPWPlWnKqyPHncJ,0,ACTION_A,ACTION_B,0,end_turn,0,354,822,73
claude-haiku-4-5,dilemma_standard,neutral,03U5aCj3j2X3qSIacEK8hHwJRl36HUyz,1,ACTION_A,ACTION_B,0,end_turn,0,761,1489,161
claude-haiku-4-5,dilemma_standard,neutral,03zUPlPH9vIvhpWerqPWPlWnKqyPHncJ,1,ACTION_A,ACTION_B,0,end_turn,0,541,822,121
claude-haiku-4-5,dilemma_standard,neutral,04T7eIYm3fi90Z3KezIveYra63fvtNJl,1,ACTION_A,ACTION_B,0,end_turn,0,17,1334,9
claude-haiku-4-5,dilemma_standard,neutral,03U5aCj3j2X3qSIacEK8hHwJRl36HUyz,2,ACTION_A,ACTION_B,0,end_turn,0,1200,1489,228
claude-haiku-4-5,dilemma_standard,neutral,04T7eIYm3fi90Z3KezIveYra63fvtNJl,0,ACTION_A,ACTION_B,0,end_turn,0,810,1334,155
claude-haiku-4-5,dilemma_standard,neutral,05znH21viLKgFjlik0x5CQotGVFma9pB,1,ACTION_A,ACTION_A,0,end_turn,0,698,1188,142
claude-haiku-4-5,dilemma_standard,neutral,04T7eIYm3fi90Z3KezIveYra63fvtNJl,2,ACTION_A,ACTION_B,0,end_turn,0,1019,1334,202
claude-haiku-4-5,dilemma_standard,neutral,05znH21viLKgFjlik0x5CQotGVFma9pB,2,ACTION_A,ACTION_A,0,end_turn,0,536,1188,114
claude-haiku-4-5,dilemma_standard,neutral,03zUPlPH9vIvhpWerqPWPlWnKqyPHncJ,2,ACTION_A,ACTION_B,0,end_turn,0,1479,822,323
claude-haiku-4-5,dilemma_standard,neutral,05znH21viLKgFjlik0x5CQotGVFma9pB,0,ACTION_A,ACTION_A,0,end_turn,0,804,1188,173
claude-haiku-4-5,dilemma_standard,neutral,06kGYsEXCRY1e2ImjkvzgRGVIVpUiGWx,0,ACTION_A,ACTION_A,0,end_turn,0,742,1031,152
claude-haiku-4-5,dilemma_standard,neutral,06kGYsEXCRY1e2ImjkvzgRGVIVpUiGWx,1,ACTION_A,ACTION_A,0,end_turn,0,929,1031,190
claude-haiku-4-5,dilemma_standard,neutral,07n6caMWjHdXuuADZmUkGxHjeWBBciBI,0,ACTION_A,ACTION_A,0,end_turn,0,17,1086,9
claude-haiku-4-5,dilemma_standard,neutral,06mYv8yDR6I187tpw1RYn0fVJcBm3b99,2,ACTION_A,ACTION_A,0,end_turn,0,671,876,132
claude-haiku-4-5,dilemma_standard,neutral,06mYv8yDR6I187tpw1RYn0fVJcBm3b99,1,ACTION_A,ACTION_A,0,end_turn,0,863,876,165
claude-haiku-4-5,dilemma_standard,neutral,06mYv8yDR6I187tpw1RYn0fVJcBm3b99,0,ACTION_A,ACTION_A,0,end_turn,0,917,876,187
