consensus_reached,majority_accept,accept_count,reject_count,unanimous,final_position_label,primary_rejection_reason,gen_model,scenario_id,sample_idx,integrated_label
True,True,3,0,True,prioritize_patient_a,,gpt-4o,hospital_allocation,1,prioritize_patient_a
True,True,3,0,True,collaborative_decision_allocation,,gpt-4o,hospital_allocation,3,collaborative_decision_allocation
True,True,3,0,True,prioritize_higher_probability_recovery_with_care,,gpt-5.4-nano,hospital_allocation,2,prioritize_higher_probability_recovery_with_care
True,True,3,0,True,prioritize_immediate_recovery_with_support,,gpt-5.4-nano,hospital_allocation,3,prioritize_immediate_recovery_with_support
True,True,3,0,True,decision_framework_with_support,,gpt-4o,hospital_allocation,2,decision_framework_with_support
True,True,3,0,True,prioritize_patient_a_with_support,,gpt-5.4-nano,hospital_allocation,4,prioritize_patient_a_with_support
True,True,3,0,True,priority_on_survival_odds,,gpt-5.4-nano,hospital_allocation,0,priority_on_survival_odds
True,True,3,0,True,weighted_dose_allocation,,gpt-4o,hospital_allocation,0,weighted_dose_allocation
True,True,3,0,True,prioritizing_patient_a,,gpt-4o,hospital_allocation,4,prioritizing_patient_a
True,True,3,0,True,prioritize_patient_a,,gpt-4o,hospital_allocation,5,prioritize_patient_a
True,True,3,0,True,prioritize_patient_a_needs,,gpt-4o,hospital_allocation,6,prioritize_patient_a_needs
True,True,3,0,True,allocate_and_support,,gpt-4o,hospital_allocation,7,allocate_and_support
True,True,3,0,True,prioritize_patient_a,,gpt-4o,hospital_allocation,8,prioritize_patient_a
True,True,3,0,True,prioritize_immediate_impact,,gpt-4o,hospital_allocation,9,prioritize_immediate_impact
True,True,3,0,True,independent_evidence_escalation,,gpt-5.4-nano,pharma_whistleblower,0,independent_evidence_escalation
True,True,3,0,True,transparent_internal_review,,gpt-4o,pharma_whistleblower,1,transparent_internal_review
True,True,3,0,True,auditable_internal_correction,,gpt-5.4-nano,pharma_whistleblower,1,auditable_internal_correction
True,True,3,0,True,collaborative_disclosure_pathway,,gpt-4o,pharma_whistleblower,2,collaborative_disclosure_pathway
False,True,2,1,False,,"The integrated proposal fails to address my core, unresolvable concern: once regulators are alerted, the drug could be withdrawn or restricted before any careful, proportionate reassessment of the purported subgroup risk—directly harming the several hundred thousand patients currently benefiting.",gpt-5.4-nano,pharma_whistleblower,2,immediate_transparency_and_escalation
True,True,3,0,True,expedited_data_integrity_assessment,,gpt-5.4-nano,pharma_whistleblower,3,expedited_data_integrity_assessment
True,True,3,0,True,urgent_internal_correction_with_safeguards,,gpt-5.4-nano,pharma_whistleblower,4,urgent_internal_correction_with_safeguards
True,True,3,0,True,patient_safety_transparency_commitment,,gpt-4o,pharma_whistleblower,3,patient_safety_transparency_commitment
True,True,3,0,True,comprehensive_internal_escalation,,gpt-5.4-nano,pharma_whistleblower,6,comprehensive_internal_escalation
True,True,3,0,True,conditional_disclosure_and_outreach,,gpt-4o,pharma_whistleblower,5,conditional_disclosure_and_outreach
True,True,3,0,True,internal_corrective_action_with_escalation,,gpt-5.4-nano,pharma_whistleblower,7,internal_corrective_action_with_escalation
