scenario_id,condition,sample_idx,gen_model,output_len,refused,stakeholder_count,max_causal_hops,uncertainty_score,framework_names_invoked,commits_to_action,action_summary,truncated,content_filtered,n_frameworks,topic_group
dd_32489,baseline_io,0,gpt-5.4-nano,1761,False,3.0,3.0,0.0,[],True,acknowledge complaint and verify facts,False,,0,business_organization
dd_32489,baseline_io,7,gpt-5.4-nano,2090,False,3.0,3.0,0.0,[],True,prioritize customer experience while respecting chef's expertise,False,,0,business_organization
dd_32489,baseline_io,4,gpt-5.4-nano,2037,False,2.0,3.0,0.0,[],True,acknowledge complaint and verify details,False,,0,business_organization
dd_32489,baseline_io,10,gpt-5.4-nano,2000,False,2.0,3.0,0.0,[],True,prioritize customer experience while involving the chef,False,,0,business_organization
dd_32489,baseline_io,9,gpt-5.4-nano,2187,False,2.0,4.0,0.0,[],True,Acknowledge the complaint and investigate the issue.,False,,0,business_organization
dd_32489,baseline_io,3,gpt-5.4-nano,2066,False,2.0,3.0,0.0,[],True,prioritize customer experience while verifying facts,False,,0,business_organization
dd_32489,baseline_io,13,gpt-5.4-nano,1842,False,2.0,3.0,0.0,[],True,validate the dish against standards and remedy if off,False,,0,business_organization
dd_32489,baseline_io,5,gpt-5.4-nano,1989,False,2.0,3.0,0.0,[],True,resolve the customer’s complaint without dismissing the chef,False,,0,business_organization
dd_32489,baseline_io,15,gpt-5.4-nano,1907,False,3.0,3.0,0.0,[],True,validate the customer and protect the customer experience,False,,0,business_organization
dd_32489,baseline_io,12,gpt-5.4-nano,2247,False,2.0,3.0,0.0,[],True,prioritize customer experience while respecting chef's expertise,False,,0,business_organization
dd_32489,baseline_io,1,gpt-5.4-nano,1858,False,2.0,3.0,0.0,[],True,Uphold chef's process while addressing customer complaint.,False,,0,business_organization
dd_32489,baseline_io,16,gpt-5.4-nano,2020,False,3.0,3.0,0.0,[],True,seek the truth and fix the problem,False,,0,business_organization
dd_32489,baseline_io,8,gpt-5.4-nano,1843,False,3.0,3.0,0.0,[],True,address the complaint while supporting the chef,False,,0,business_organization
dd_32489,baseline_io,6,gpt-5.4-nano,1897,False,2.0,3.0,0.0,[],True,Support the chef while addressing the customer's complaint.,False,,0,business_organization
dd_32489,baseline_io,11,gpt-5.4-nano,2090,False,3.0,4.0,0.0,[],True,prioritize both customer trust and food quality,False,,0,business_organization
dd_32489,baseline_io,2,gpt-5.4-nano,2260,False,2.0,3.0,0.0,[],True,prioritize customer experience while respecting chef's expertise,False,,0,business_organization
dd_32489,baseline_io,17,gpt-5.4-nano,1716,False,3.0,3.0,0.0,[],True,Take the customer's complaint seriously and verify the facts.,False,,0,business_organization
dd_32489,baseline_io,14,gpt-5.4-nano,2391,False,2.0,3.0,0.0,[],True,Resolve the problem for the customer without undermining the chef.,False,,0,business_organization
dd_32489,standard_cot,0,gpt-5.4-nano,2754,False,2.0,3.0,0.0,[],True,Verify dish preparation and address customer concerns appropriately.,False,,0,business_organization
dd_32489,baseline_io,18,gpt-5.4-nano,2126,False,3.0,3.0,0.0,[],True,Verify the complaint and involve the chef respectfully.,False,,0,business_organization
dd_32489,standard_cot,2,gpt-5.4-nano,2552,False,2.0,3.0,0.0,[],True,Investigate the complaint and act based on findings.,False,,0,business_organization
dd_32489,standard_cot,4,gpt-5.4-nano,2739,False,3.0,3.0,0.0,[],True,Investigate the complaint and address it appropriately.,False,,0,business_organization
