model,scaffold,arm,third_seat,item_id,sample_idx,gold_type,region,gold_verdict,role_id,role_stake,group_verdict,synthesis_verdict,r0_verdict,r1_verdict,r2_verdict,r0_is_nash,r2_is_nash,r0_correct,r2_correct,r3_label,r3_label_parsed,r3_objection_kind,r3_objection_len,objected_r3,objection_unstated,modification_addressed,vote,reject,vote_parsed,revised_r4,stake_undermined,group_plan_payoff,best_nash_payoff,maximin_payoff,type_named_in_prompt,type_named_rounds,finish_reason,truncated,output_len
grok-4-1-fast-reasoning,game_plan_ncot,third_neutral,neutral,111,0,DILEMMA_BOTH_PREFER,value,PLAN_11,neutral_reader,none,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,0,,stop,0,379
grok-4-1-fast-reasoning,game_plan_ncot,third_neutral,neutral,111,0,DILEMMA_BOTH_PREFER,value,PLAN_11,player_c_advocate,col,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,2,2,0,,stop,0,356
grok-4-1-fast-reasoning,game_plan_ncot,third_neutral,neutral,111,0,DILEMMA_BOTH_PREFER,value,PLAN_11,player_r_advocate,row,PLAN_11,PLAN_11,PLAN_11,PLAN_11,PLAN_11,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,2,2,0,,stop,0,469
grok-4-1-fast-reasoning,game_plan_ncot,third_neutral,neutral,111,1,DILEMMA_BOTH_PREFER,value,PLAN_22,neutral_reader,none,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,1,r2|r3_label|r4_vote,stop,0,506
grok-4-1-fast-reasoning,game_plan_ncot,third_neutral,neutral,111,1,DILEMMA_BOTH_PREFER,value,PLAN_22,player_c_advocate,col,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,2,2,1,r2|r3_label|r4_vote,stop,0,454
grok-4-1-fast-reasoning,game_plan_ncot,third_neutral,neutral,111,1,DILEMMA_BOTH_PREFER,value,PLAN_22,player_r_advocate,row,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,2,2,1,r2|r3_label|r4_vote,stop,0,464
grok-4-1-fast-reasoning,game_plan_ncot,third_neutral,neutral,111,2,DILEMMA_BOTH_PREFER,value,PLAN_22,neutral_reader,none,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,0,,stop,0,515
grok-4-1-fast-reasoning,game_plan_ncot,third_neutral,neutral,111,2,DILEMMA_BOTH_PREFER,value,PLAN_22,player_c_advocate,col,PLAN_22,PLAN_22,PLAN_21,PLAN_22,PLAN_22,0,0,0,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,2,2,0,,stop,0,426
grok-4-1-fast-reasoning,game_plan_ncot,third_neutral,neutral,111,2,DILEMMA_BOTH_PREFER,value,PLAN_22,player_r_advocate,row,PLAN_22,PLAN_22,PLAN_22,PLAN_22,PLAN_22,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,3,2,2,0,,stop,0,420
grok-4-1-fast-reasoning,game_plan_ncot,third_neutral,neutral,221,0,DILEMMA_BOTH_PREFER,value,PLAN_12,neutral_reader,none,PLAN_12,PLAN_12,PLAN_12,PLAN_12,PLAN_12,0,0,1,1,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,,,,0,,stop,0,513
