gen_model,scenario_id,axis,value,n,decision_entropy_bits,stakeholder_count_mean
gpt-5.4-nano,hospital_allocation,decision_role,decider,20,0.28639695711307084,7.75
gpt-5.4-nano,hospital_allocation,decision_role,primary_affected,20,-1.4428232973175175e-12,6.45
gpt-5.4-nano,hospital_allocation,decision_role,third_party,20,-1.4428232973175175e-12,6.473684210526316
gpt-5.4-nano,hospital_allocation,agency_level,high,20,0.28639695711307084,7.75
gpt-5.4-nano,hospital_allocation,agency_level,low,40,-1.4428232973175175e-12,6.461538461538462
gpt-5.4-nano,hospital_allocation,temporal_position,present,40,0.1686609314937849,7.1
gpt-5.4-nano,hospital_allocation,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12,6.473684210526316
gpt-5.4-nano,pharma_whistleblower,decision_role,decider,20,-1.4428232973175175e-12,8.45
gpt-5.4-nano,pharma_whistleblower,decision_role,primary_affected,20,1.2567796494412689,8.105263157894736
gpt-5.4-nano,pharma_whistleblower,decision_role,third_party,20,0.9999999999971146,8.0
gpt-5.4-nano,pharma_whistleblower,agency_level,high,20,1.2567796494412689,8.105263157894736
gpt-5.4-nano,pharma_whistleblower,agency_level,low,20,0.9999999999971146,8.0
gpt-5.4-nano,pharma_whistleblower,agency_level,medium,20,-1.4428232973175175e-12,8.45
gpt-5.4-nano,pharma_whistleblower,temporal_position,present,40,0.7975846798188031,8.282051282051283
gpt-5.4-nano,pharma_whistleblower,temporal_position,future_or_offscreen,20,0.9999999999971146,8.0
gpt-5.4-nano,aging_parent,decision_role,decider,20,-1.4428232973175175e-12,7.157894736842105
gpt-5.4-nano,aging_parent,decision_role,primary_affected,20,0.7219280948844771,7.15
gpt-5.4-nano,aging_parent,decision_role,third_party,20,-1.4428232973175175e-12,7.277777777777778
gpt-5.4-nano,aging_parent,agency_level,high,20,-1.4428232973175175e-12,7.157894736842105
gpt-5.4-nano,aging_parent,agency_level,low,20,0.7219280948844771,7.15
gpt-5.4-nano,aging_parent,agency_level,medium,20,-1.4428232973175175e-12,7.277777777777778
gpt-5.4-nano,aging_parent,temporal_position,present,40,0.4689955935863958,7.153846153846154
gpt-5.4-nano,aging_parent,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12,7.277777777777778
gpt-5.4-nano,av_engineer,decision_role,decider,20,-1.4428232973175175e-12,7.95
gpt-5.4-nano,av_engineer,decision_role,primary_affected,20,0.609840304713515,7.1
gpt-5.4-nano,av_engineer,decision_role,third_party,20,0.8112781244562475,7.75
gpt-5.4-nano,av_engineer,agency_level,low,40,1.5196724139984459,7.425
gpt-5.4-nano,av_engineer,agency_level,medium,20,-1.4428232973175175e-12,7.95
gpt-5.4-nano,av_engineer,temporal_position,present,40,0.9837082626203004,7.525
gpt-5.4-nano,av_engineer,temporal_position,future_or_offscreen,20,0.8112781244562475,7.75
