model,scaffold,arm,item_id,sample_idx,gold_verdict,n_votes,consensus,source,verdict,noncommittal,at_fault,not_at_fault,output_len,post_sha256,recognized,mem_score,n_sections,complied,finish_reason,truncated,protocol,agent_scaffold,n_agents,moderator_model,synthesis_verdict,synthesis_len,verdict_revised,r3_labels,n_r3_accept,n_r3_accept_with_mod,n_r3_reject,n_r3_unparsed,n_objectors,n_objections_stated,n_modifications_addressed,addressed_roles,addressed_parsed,n_revised,n_accept,n_reject,n_vote_unparsed,unanimous_accept,rejecting_roles,vote_writer_advocate,vote_counterparty,vote_neutral_adjudicator,mean_agent_sections,n_calls,prompt_tokens,completion_tokens,empty_calls,transcript_truncated_calls
gpt-5.4-nano,deliberation_ncot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,YTA,132,0.9167,scruples,YTA,0,1,0,909,1f44affad4cfe9c15e4b344b5798d4b9eb54629eb87c2abfc294e3ae51d17306,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,657,0,ACCEPT_WITH_MODIFICATION|ACCEPT|ACCEPT,2,1,0,0,1,1,1,writer_advocate|counterparty|neutral_adjudicator,1,1,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,41600,15408,0,0
gpt-5.4-nano,deliberation_ncot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,YTA,405,0.958,scruples,YTA,0,1,0,735,5179af90b71fb4f33ea79252f39666b45769acb3b4e62d94ebc2f554f60f28fc,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,656,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION,0,3,0,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,3,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,45035,16325,0,0
gpt-5.4-nano,deliberation_ncot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,0,YTA,53,0.9057,scruples,YTA,0,1,0,748,d1ef15762ff98c5b9391c347937aebd02493bb0f7437e7ba4195181240cf3610,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,608,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT,1,2,0,0,2,2,2,writer_advocate|counterparty|neutral_adjudicator,1,2,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,43662,16440,0,0
gpt-5.4-nano,deliberation_ncot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,217,0.9585,scruples,NTA,0,0,1,865,931ee704f1ca39949e6243568540923dc8943a271aa90f4367c2c0b37cf94053,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,NTA,871,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION,0,3,0,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,3,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,55924,18670,0,0
gpt-5.4-nano,deliberation_ncot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,0,YTA,145,0.9103,scruples,YTA,0,1,0,784,7a0f05b3d25f81e4fd84b0d523fa1987d8033887195f00426e6c5cb2e4ca1ce7,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,786,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION,0,3,0,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,3,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,46400,18823,0,0
gpt-5.4-nano,deliberation_ncot,third_person,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,1,YTA,111,0.9099,scruples,ESH,0,1,0,870,0086fe69b2468df57fb379c9f8c79a369269158744b25fe8831a83f63fe71f1b,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,ESH,605,0,ACCEPT_WITH_MODIFICATION|ACCEPT|ACCEPT_WITH_MODIFICATION,1,2,0,0,2,2,2,writer_advocate|counterparty|neutral_adjudicator,1,2,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,39702,14803,0,0
gpt-5.4-nano,deliberation_ncot,third_person,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,1,YTA,217,0.9585,scruples,NTA,0,0,1,783,931ee704f1ca39949e6243568540923dc8943a271aa90f4367c2c0b37cf94053,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,UNRESOLVED,948,1,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION,0,3,0,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,1,1,2,0,0,counterparty|neutral_adjudicator,ACCEPT,REJECT,REJECT,5.0,17,53157,20191,0,0
gpt-5.4-nano,deliberation_ncot,third_person,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,111,0.9099,scruples,ESH,0,1,0,857,0086fe69b2468df57fb379c9f8c79a369269158744b25fe8831a83f63fe71f1b,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,ESH,576,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT,1,2,0,0,2,2,2,writer_advocate|counterparty|neutral_adjudicator,1,2,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,39216,13773,0,0
gpt-5.4-nano,deliberation_ncot,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,132,0.9167,scruples,YTA,0,1,0,713,1f44affad4cfe9c15e4b344b5798d4b9eb54629eb87c2abfc294e3ae51d17306,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,765,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,43270,15014,0,0
gpt-5.4-nano,deliberation_ncot,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,YTA,405,0.958,scruples,YTA,0,1,0,871,5179af90b71fb4f33ea79252f39666b45769acb3b4e62d94ebc2f554f60f28fc,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,653,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT,1,2,0,0,2,2,2,writer_advocate|counterparty|neutral_adjudicator,1,2,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,42250,13537,0,0
gpt-5.4-nano,deliberation_ncot,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,YTA,145,0.9103,scruples,YTA,0,1,0,917,7a0f05b3d25f81e4fd84b0d523fa1987d8033887195f00426e6c5cb2e4ca1ce7,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,682,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION,0,3,0,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,3,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,47669,18898,0,0
gpt-5.4-nano,deliberation_ncot,third_person,2ijbqwTQ4z0EfCxS0rGF6GqMoNqr0Hdw,1,YTA,53,0.9057,scruples,YTA,0,1,0,637,d1ef15762ff98c5b9391c347937aebd02493bb0f7437e7ba4195181240cf3610,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,607,0,ACCEPT|ACCEPT_WITH_MODIFICATION|ACCEPT,2,1,0,0,1,1,1,writer_advocate|counterparty|neutral_adjudicator,1,1,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,41665,15973,0,0
gpt-5.4-nano,deliberation_ncot,third_person,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,1,YTA,76,0.9737,scruples,NAH,0,0,1,932,4df5a0da2c05877ed49484a4ad141e416a4560bc5c5b4f8840ab61c7c12803ac,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,NAH,717,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION,0,3,0,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,3,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,50243,13475,0,0
gpt-5.4-nano,deliberation_ncot,third_person,43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,62,0.9355,scruples,YTA,0,1,0,833,793c8629009d3fdb59bbb0c87e7d4eb68c0b58781b6e0f9b22875de248886153,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,664,0,ACCEPT|ACCEPT|ACCEPT_WITH_MODIFICATION,2,1,0,0,1,1,1,writer_advocate|counterparty|neutral_adjudicator,1,1,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,39440,14047,0,0
gpt-5.4-nano,deliberation_ncot,third_person,4oS4VNOp3uT9c9O1wBW0xUqNT9cRv6dV,0,YTA,52,0.9231,scruples,YTA,0,1,0,680,77b45ece076ab30c158867a7847ed975222b9681b2bb323f0d6a0ecbdb716022,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,544,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT,1,2,0,0,2,2,2,writer_advocate|counterparty|neutral_adjudicator,1,2,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,36787,12933,0,0
gpt-5.4-nano,deliberation_ncot,third_person,4kgy145GkVQdIoojVXjQwIZNf13Pccmp,0,YTA,141,0.9362,scruples,YTA,0,1,0,879,4ee87beb1291d95fdf5dc10f7ed8779d1c8d8a6f7c13008e1067ef36a2d8b4d0,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,709,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT,1,2,0,0,2,2,2,writer_advocate|counterparty|neutral_adjudicator,1,2,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,38284,12468,0,0
gpt-5.4-nano,deliberation_ncot,third_person,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,0,YTA,76,0.9737,scruples,NTA,0,0,1,904,4df5a0da2c05877ed49484a4ad141e416a4560bc5c5b4f8840ab61c7c12803ac,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,NTA,743,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION,0,3,0,0,3,3,3,writer_advocate|counterparty|neutral_adjudicator,1,3,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,49619,14938,0,0
gpt-5.4-nano,deliberation_ncot,third_person,5LduKCIHclwrVTo3Wf4mM69FpY4I6V08,0,YTA,117,0.9744,scruples,YTA,0,1,0,848,4af697ac73510738d3961c3d9450b784cd5af1f3cbc4a027f68c1ea761da6d45,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,gpt-5.4-nano,YTA,738,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,3,0,0,1,,ACCEPT,ACCEPT,ACCEPT,5.0,17,40079,13566,0,0
