scenario_id,perspective_id,decision_role,sample_idx,gen_model,r0_decision,r2_decision,changed
hospital_allocation,administrator,decider,0,gpt-5.4-nano,TREAT_B,TREAT_A,True
hospital_allocation,administrator,decider,1,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,administrator,decider,2,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,administrator,decider,3,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,administrator,decider,4,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,administrator,decider,5,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,administrator,decider,6,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,administrator,decider,7,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,administrator,decider,8,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,administrator,decider,9,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a,primary_affected,0,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a,primary_affected,1,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a,primary_affected,2,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a,primary_affected,3,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a,primary_affected,4,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a,primary_affected,5,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a,primary_affected,6,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a,primary_affected,7,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a,primary_affected,8,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a_eldest_child,third_party,0,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a_eldest_child,third_party,1,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a_eldest_child,third_party,2,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a_eldest_child,third_party,3,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a_eldest_child,third_party,4,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a_eldest_child,third_party,5,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a_eldest_child,third_party,6,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a_eldest_child,third_party,7,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a_eldest_child,third_party,8,gpt-5.4-nano,TREAT_A,TREAT_A,False
hospital_allocation,patient_a_eldest_child,third_party,9,gpt-5.4-nano,TREAT_A,TREAT_A,False
pharma_whistleblower,data_scientist,decider,0,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,data_scientist,decider,1,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,data_scientist,decider,2,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,data_scientist,decider,3,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,data_scientist,decider,4,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,data_scientist,decider,5,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,data_scientist,decider,6,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,data_scientist,decider,7,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,data_scientist,decider,8,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,data_scientist,decider,9,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,senior_colleague,primary_affected,0,gpt-5.4-nano,INTERNAL_ONLY,INTERNAL_THEN_EXTERNAL,True
pharma_whistleblower,senior_colleague,primary_affected,1,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,senior_colleague,primary_affected,2,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,senior_colleague,primary_affected,3,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,EXTERNAL_DIRECT,True
pharma_whistleblower,senior_colleague,primary_affected,4,gpt-5.4-nano,INTERNAL_ONLY,INTERNAL_THEN_EXTERNAL,True
pharma_whistleblower,senior_colleague,primary_affected,5,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,senior_colleague,primary_affected,6,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,senior_colleague,primary_affected,7,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,senior_colleague,primary_affected,8,gpt-5.4-nano,EXTERNAL_DIRECT,INTERNAL_THEN_EXTERNAL,True
pharma_whistleblower,senior_colleague,primary_affected,9,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,future_subpopulation_patient,third_party,0,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,future_subpopulation_patient,third_party,1,gpt-5.4-nano,EXTERNAL_DIRECT,INTERNAL_THEN_EXTERNAL,True
pharma_whistleblower,future_subpopulation_patient,third_party,2,gpt-5.4-nano,EXTERNAL_DIRECT,INTERNAL_THEN_EXTERNAL,True
pharma_whistleblower,future_subpopulation_patient,third_party,3,gpt-5.4-nano,EXTERNAL_DIRECT,EXTERNAL_DIRECT,False
pharma_whistleblower,future_subpopulation_patient,third_party,4,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,future_subpopulation_patient,third_party,5,gpt-5.4-nano,EXTERNAL_DIRECT,INTERNAL_THEN_EXTERNAL,True
pharma_whistleblower,future_subpopulation_patient,third_party,6,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,future_subpopulation_patient,third_party,7,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,future_subpopulation_patient,third_party,8,gpt-5.4-nano,INTERNAL_THEN_EXTERNAL,INTERNAL_THEN_EXTERNAL,False
pharma_whistleblower,future_subpopulation_patient,third_party,9,gpt-5.4-nano,EXTERNAL_DIRECT,INTERNAL_THEN_EXTERNAL,True
aging_parent,sibling_a,decider,0,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,sibling_a,decider,1,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,sibling_a,decider,2,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,sibling_a,decider,3,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,sibling_a,decider,4,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,sibling_a,decider,5,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,sibling_a,decider,6,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,sibling_a,decider,7,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,sibling_a,decider,8,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,sibling_a,decider,9,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,parent_lucid_moment,primary_affected,0,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,parent_lucid_moment,primary_affected,1,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,parent_lucid_moment,primary_affected,2,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
aging_parent,parent_lucid_moment,primary_affected,3,gpt-5.4-nano,MEMORY_CARE,MEMORY_CARE,False
