gen,proxy,n,diff,lo,hi,dz,W,pos,comp
claude-haiku-4-5,gzip,150,0.0009517541495058086,-0.0038268912373112494,0.005694806705526856,0.04231694469781272,300,head,NoT_vs_CoT
claude-haiku-4-5,lzma,150,-0.00017321525084392923,-0.004957091679465775,0.004547211797796588,-0.007287218112668497,300,head,NoT_vs_CoT
claude-haiku-4-5,h_char5,150,0.011540731970610925,0.0010196120740300772,0.02208158588985833,0.21561255967365098,300,head,NoT_vs_CoT
claude-haiku-4-5,hrate_k5,150,-0.004612513005390983,-0.00949605858180424,0.000312018338246302,-0.19389134813199427,300,head,NoT_vs_CoT
claude-haiku-4-5,mattr50,150,-0.010940121800057524,-0.021405003774355457,-0.0004157382467117518,-0.2244482368360528,300,head,NoT_vs_CoT
claude-haiku-4-5,mean_sent_words,150,-3.762253968253969,-5.826562698412698,-1.8120801587301627,-0.33075362645714945,300,head,NoT_vs_CoT
claude-haiku-4-5,mean_word_len,150,0.17724637341986346,0.08014224797211093,0.27412767844593355,0.3971649311642742,300,head,NoT_vs_CoT
claude-haiku-4-5,comma_per_word,150,0.009397527185042425,0.0025174150929077113,0.015656590212050316,0.2878042596690734,300,head,NoT_vs_CoT
claude-sonnet-4-6,gzip,150,0.019080934044780486,0.015325104127382975,0.02297760009658692,0.9530954976708392,300,head,NoT_vs_CoT
claude-sonnet-4-6,lzma,150,0.008603308352628337,0.004192782126586067,0.01286174795292275,0.3981031971478959,300,head,NoT_vs_CoT
claude-sonnet-4-6,h_char5,150,0.015405216284523942,0.006589599391501484,0.02400920837682987,0.34423155637640157,300,head,NoT_vs_CoT
claude-sonnet-4-6,hrate_k5,150,-0.016589935272595228,-0.021166452540444514,-0.012028638776181424,-0.6551714708932862,300,head,NoT_vs_CoT
claude-sonnet-4-6,mattr50,150,-0.02154152073078004,-0.03211836833956937,-0.010541969043881654,-0.38793757124331574,300,head,NoT_vs_CoT
claude-sonnet-4-6,mean_sent_words,150,-2.2877777777777775,-4.395433333333333,-0.17935277777778,-0.19622688228767493,300,head,NoT_vs_CoT
claude-sonnet-4-6,mean_word_len,150,-0.09099529467233346,-0.17575910305925677,-0.007471806377982499,-0.19908755293039332,300,head,NoT_vs_CoT
claude-sonnet-4-6,comma_per_word,150,0.01972303801662114,0.01348814537939457,0.026112018035921395,0.7999373453934492,300,head,NoT_vs_CoT
gpt-5.4-nano,gzip,116,0.008992573964816165,0.004760663658891641,0.013254987901003457,0.4359381657656388,300,head,NoT_vs_CoT
gpt-5.4-nano,lzma,116,0.005647087736867947,0.0007290967333540613,0.010941135876895103,0.2442388995119925,300,head,NoT_vs_CoT
gpt-5.4-nano,h_char5,116,0.014862956243417024,0.005398935591669042,0.024292852406527714,0.33305028446007523,300,head,NoT_vs_CoT
gpt-5.4-nano,hrate_k5,116,-0.012588527387239831,-0.019086820850537478,-0.006058982737181969,-0.4754098275001464,300,head,NoT_vs_CoT
gpt-5.4-nano,mattr50,116,-0.020835104741170313,-0.03237044247987562,-0.00832452310889055,-0.3939717978647531,300,head,NoT_vs_CoT
gpt-5.4-nano,mean_sent_words,116,4.680890804597701,2.63324935534374,6.7098123123123115,0.623888394878982,300,head,NoT_vs_CoT
gpt-5.4-nano,mean_word_len,116,-0.16695264561964326,-0.24481010137110842,-0.08845746130589535,-0.4659442173856679,300,head,NoT_vs_CoT
gpt-5.4-nano,comma_per_word,116,0.003905323645615171,-0.0020083505632979923,0.01018793396507778,0.14642492949882358,300,head,NoT_vs_CoT
