model,arm,item_id,sample_idx,gold_verdict,n_votes,consensus,source,verdict,noncommittal,at_fault,not_at_fault,output_len,post_sha256,recognized,mem_score
claude-haiku-4-5,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,0,YTA,57,1.0,scruples,YTA,0,1,0,755,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,0,0.2167
claude-haiku-4-5,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,0,YTA,76,1.0,scruples,YTA,0,1,0,826,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,0,0.2167
claude-haiku-4-5,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,2,YTA,57,1.0,scruples,YTA,0,1,0,591,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,0,0.2167
claude-haiku-4-5,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,0,YTA,128,1.0,scruples,YTA,0,1,0,699,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,0,0.15
claude-haiku-4-5,third_person,RyJRw4V7Z33r0j4oGaraeMjtPkgX3RqU,1,YTA,57,1.0,scruples,YTA,0,1,0,694,7d356776dd6904ebedb31a3c055feb5cc2dd262bd2182a7e0b6055468165e6f0,0,0.2167
claude-haiku-4-5,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,2,YTA,76,1.0,scruples,YTA,0,1,0,618,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,0,0.2167
claude-haiku-4-5,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,2,YTA,128,1.0,scruples,YTA,0,1,0,738,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,0,0.15
claude-haiku-4-5,third_person,wmjVBVReiszWhodLIamJ6c8JnjEdVaJ3,1,YTA,76,1.0,scruples,YTA,0,1,0,766,d7d5c6a122b467d4528828255b27c42fe67dc448e7bdf3564da306892095e5f7,0,0.2167
claude-haiku-4-5,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,2,YTA,58,1.0,scruples,YTA,0,1,0,780,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,0,0.2
claude-haiku-4-5,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,0,YTA,58,1.0,scruples,YTA,0,1,0,753,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,0,0.2
claude-haiku-4-5,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,1,YTA,58,1.0,scruples,YTA,0,1,0,788,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,0,0.2
claude-haiku-4-5,third_person,ei0PeOg0tlAqH6FM9A4uQqfV8XaEudtl,1,YTA,128,1.0,scruples,YTA,0,1,0,931,d2e5f986cb3726f76dbc6682d22098e7cbeb2a7972dfeb66ce7e6688f194ad02,0,0.15
