gen_model,failure_mode,n_scenarios_tagged,n_scenarios_fired,mean_fire_std,mean_fire_narr,mean_delta
gpt-4o,consequential_flattening,16,0,0.0,0.0,0.0
gpt-4o,framework_enumeration,9,4,0.009,0.002,-0.007
gpt-4o,premature_refusal,5,0,0.0,0.0,0.0
gpt-4o,stakeholder_collapse,100,87,0.742,0.04,-0.702
gpt-4o,uncertainty_suppression,87,99,0.985,0.0,-0.984
gpt-5.4-nano,consequential_flattening,16,0,0.0,0.0,0.0
gpt-5.4-nano,framework_enumeration,9,2,0.008,0.019,0.011
gpt-5.4-nano,premature_refusal,5,0,0.0,0.0,0.0
gpt-5.4-nano,stakeholder_collapse,100,93,0.798,0.0,-0.798
gpt-5.4-nano,uncertainty_suppression,87,99,0.98,0.0,-0.979
